ville,datetime,pm10,pm2_5,no2,o3,co,so2
Paris,2025-06-23T00:00,8.0,4.3,9.6,55.0,157.0,0.6
Paris,2025-06-23T01:00,6.8,4.0,6.8,56.0,149.0,0.8
Paris,2025-06-23T02:00,7.4,4.2,6.7,54.0,145.0,0.9
Paris,2025-06-23T03:00,8.2,4.4,6.7,52.0,144.0,0.9
Paris,2025-06-23T04:00,8.2,4.3,6.9,53.0,143.0,0.7
Paris,2025-06-23T05:00,8.7,4.5,12.0,50.0,156.0,0.8
Paris,2025-06-23T06:00,9.1,5.2,13.8,46.0,182.0,0.8
Paris,2025-06-23T07:00,8.6,4.6,11.4,49.0,175.0,0.6
Paris,2025-06-23T08:00,7.3,4.9,10.7,53.0,167.0,0.5
Paris,2025-06-23T09:00,7.3,4.8,9.0,59.0,166.0,0.4
Paris,2025-06-23T10:00,6.4,4.7,8.1,59.0,172.0,0.4
Paris,2025-06-23T11:00,5.9,4.2,5.8,61.0,167.0,0.3
Paris,2025-06-23T12:00,5.7,3.8,5.3,62.0,161.0,0.3
Paris,2025-06-23T13:00,5.8,3.7,4.9,65.0,156.0,0.3
Paris,2025-06-23T14:00,5.7,3.9,4.7,69.0,153.0,0.3
Paris,2025-06-23T15:00,5.5,4.0,4.9,72.0,152.0,0.3
Paris,2025-06-23T16:00,6.3,3.9,5.8,74.0,154.0,0.4
Paris,2025-06-23T17:00,6.7,4.1,6.1,76.0,153.0,0.5
Paris,2025-06-23T18:00,5.9,4.3,6.3,79.0,144.0,0.5
Paris,2025-06-23T19:00,6.2,4.4,6.0,79.0,143.0,0.6
Paris,2025-06-23T20:00,7.4,4.6,7.4,77.0,147.0,0.8
Paris,2025-06-23T21:00,8.4,4.6,10.2,72.0,149.0,0.9
Paris,2025-06-23T22:00,10.1,5.0,9.1,67.0,154.0,0.8
Paris,2025-06-23T23:00,11.2,5.2,8.4,66.0,158.0,0.9
Paris,2025-06-24T00:00,11.5,5.3,6.7,65.0,149.0,0.8
Paris,2025-06-24T01:00,11.7,5.9,6.1,63.0,150.0,0.8
Paris,2025-06-24T02:00,12.3,6.6,6.3,61.0,150.0,0.7
Paris,2025-06-24T03:00,12.7,6.6,6.7,58.0,151.0,0.7
Paris,2025-06-24T04:00,13.6,6.6,10.6,54.0,154.0,0.8
Paris,2025-06-24T05:00,13.6,7.1,14.7,54.0,159.0,1.1
Paris,2025-06-24T06:00,16.5,7.6,21.5,55.0,204.0,1.2
Paris,2025-06-24T07:00,14.6,7.2,19.8,59.0,199.0,1.2
Paris,2025-06-24T08:00,13.5,6.8,11.9,63.0,190.0,1.1
Paris,2025-06-24T09:00,12.5,6.3,9.9,69.0,185.0,0.9
Paris,2025-06-24T10:00,11.0,5.6,6.8,79.0,182.0,0.7
Paris,2025-06-24T11:00,10.6,5.5,6.1,90.0,174.0,0.6
Paris,2025-06-24T12:00,8.8,5.1,5.2,94.0,168.0,0.6
Paris,2025-06-24T13:00,8.4,4.8,4.9,96.0,164.0,0.5
Paris,2025-06-24T14:00,8.2,4.5,5.5,96.0,162.0,0.5
Paris,2025-06-24T15:00,8.3,4.5,7.2,92.0,161.0,0.5
Paris,2025-06-24T16:00,7.8,4.3,8.9,92.0,162.0,0.6
Paris,2025-06-24T17:00,7.5,4.3,10.9,90.0,164.0,0.6
Paris,2025-06-24T18:00,7.3,4.3,10.1,88.0,151.0,0.6
Paris,2025-06-24T19:00,7.2,4.3,11.2,85.0,149.0,0.7
Paris,2025-06-24T20:00,8.0,5.3,12.6,77.0,157.0,1.0
Paris,2025-06-24T21:00,9.8,6.0,21.3,63.0,172.0,1.0
Paris,2025-06-24T22:00,11.0,7.9,28.3,51.0,195.0,1.0
Paris,2025-06-24T23:00,11.9,8.0,23.7,42.0,204.0,1.1
Paris,2025-06-25T00:00,11.3,7.3,18.9,46.0,188.0,1.2
Paris,2025-06-25T01:00,10.1,6.6,13.0,47.0,176.0,1.1
Paris,2025-06-25T02:00,10.1,6.5,10.6,46.0,176.0,1.0
Paris,2025-06-25T03:00,10.6,6.5,11.6,45.0,178.0,1.1
Paris,2025-06-25T04:00,10.9,7.2,16.7,42.0,183.0,1.4
Paris,2025-06-25T05:00,11.5,7.8,21.5,36.0,198.0,1.8
Paris,2025-06-25T06:00,15.2,8.1,38.1,33.0,317.0,2.0
Paris,2025-06-25T07:00,16.6,8.7,34.9,38.0,330.0,2.2
Paris,2025-06-25T08:00,12.5,8.2,21.9,53.0,266.0,1.8
Paris,2025-06-25T09:00,12.6,7.6,22.0,67.0,242.0,1.5
Paris,2025-06-25T10:00,11.8,7.5,16.9,93.0,226.0,1.3
Paris,2025-06-25T11:00,11.7,7.4,13.1,103.0,210.0,1.2
Paris,2025-06-25T12:00,12.3,7.1,11.6,117.0,207.0,1.1
Paris,2025-06-25T13:00,15.1,7.1,11.0,112.0,188.0,0.8
Paris,2025-06-25T14:00,14.0,7.1,8.4,116.0,185.0,0.7
Paris,2025-06-25T15:00,13.8,7.0,7.8,116.0,173.0,0.6
Paris,2025-06-25T16:00,13.6,7.1,9.7,114.0,168.0,0.7
Paris,2025-06-25T17:00,14.8,7.3,13.4,103.0,174.0,0.7
Paris,2025-06-25T18:00,16.5,8.1,11.9,91.0,163.0,0.7
Paris,2025-06-25T19:00,13.4,7.6,10.5,91.0,151.0,0.6
Paris,2025-06-25T20:00,13.5,8.4,11.0,94.0,150.0,0.7
Paris,2025-06-25T21:00,11.8,8.2,11.5,89.0,162.0,0.7
Paris,2025-06-25T22:00,10.2,7.8,8.9,93.0,150.0,0.5
Paris,2025-06-25T23:00,9.4,6.7,5.7,91.0,146.0,0.5
Paris,2025-06-26T00:00,10.5,5.9,3.3,89.0,142.0,0.4
Paris,2025-06-26T01:00,8.9,5.9,2.6,83.0,142.0,0.4
Paris,2025-06-26T02:00,7.8,5.3,3.4,80.0,129.0,0.3
Paris,2025-06-26T03:00,6.5,5.3,2.4,76.0,127.0,0.2
Paris,2025-06-26T04:00,6.3,4.9,3.4,75.0,129.0,0.3
Paris,2025-06-26T05:00,5.7,4.6,7.0,68.0,141.0,0.4
Paris,2025-06-26T06:00,6.3,5.5,12.0,61.0,145.0,0.4
Paris,2025-06-26T07:00,5.7,4.5,12.3,54.0,156.0,0.4
Paris,2025-06-26T08:00,4.5,4.1,9.4,57.0,152.0,0.4
Paris,2025-06-26T09:00,4.0,3.2,7.0,53.0,148.0,0.4
Paris,2025-06-26T10:00,4.3,3.2,5.6,55.0,142.0,0.3
Paris,2025-06-26T11:00,4.2,3.0,4.6,57.0,139.0,0.3
Paris,2025-06-26T12:00,3.0,2.6,4.5,60.0,138.0,0.3
Paris,2025-06-26T13:00,3.3,2.6,4.7,63.0,137.0,0.3
Paris,2025-06-26T14:00,3.9,2.8,5.0,61.0,136.0,0.3
Paris,2025-06-26T15:00,5.0,3.3,6.3,64.0,140.0,0.4
Paris,2025-06-26T16:00,6.0,3.3,7.1,66.0,144.0,0.4
Paris,2025-06-26T17:00,6.0,3.3,7.6,64.0,139.0,0.4
Paris,2025-06-26T18:00,4.8,3.4,6.6,61.0,129.0,0.4
Paris,2025-06-26T19:00,4.6,3.5,7.6,58.0,129.0,0.5
Paris,2025-06-26T20:00,7.3,3.8,9.9,56.0,132.0,0.7
Paris,2025-06-26T21:00,8.6,4.2,11.4,59.0,139.0,0.7
Paris,2025-06-26T22:00,9.5,4.6,11.1,56.0,149.0,0.7
