region,date_maj,superficie,population,pm25,pm10,nox,ges,code_pcaet,code
Martinique,2025-01-01 00:14:02.778000+01:00,1128.0,386875,208.933792279,372.24695058,3137.464194866,1446613.83757364,219,2
Martinique,2025-01-01 00:14:02.778000+01:00,1128.0,386875,50.412483695,52.873560605,47.334382444,36980.742838358,34,2
Martinique,2025-01-01 00:14:02.778000+01:00,1128.0,386875,16.977230564,40.342513575,158.069196401,97602.475428539,5,2
Martinique,2025-01-01 00:14:02.778000+01:00,1128.0,386875,158.89085161,250.614599361,2145.37113436,685960.242005027,6,2
Martinique,2025-01-01 00:14:02.778000+01:00,1128.0,386875,57.983897469,63.142489586,980.39802183,65482.522177877,7,2
Guyane,2025-01-01 00:15:02.832000+01:00,83533.9,259865,95.456816483,179.084330365,3115.44652722,736990.397595564,219,3
Guyane,2025-01-01 00:15:02.832000+01:00,83533.9,259865,41.315904935,43.60764891,22.422783111,34725.259955666,34,3
Guyane,2025-01-01 00:15:02.832000+01:00,83533.9,259865,8.831942767,16.765779348,69.976970904,74085.192952438,5,3
Guyane,2025-01-01 00:15:02.832000+01:00,83533.9,259865,42.19124591,59.396050827,855.766720085,286486.46465884,6,3
Guyane,2025-01-01 00:15:02.832000+01:00,83533.9,259865,71.445082471,87.328464753,238.255415449,25929.692688022,7,3
Provence-Alpes-Côte d'Azur,2025-01-01 00:16:03.327000+01:00,31676.263946475,5052832,2581.7583,4637.3418,16658.4616,18649363.0,219,93
Provence-Alpes-Côte d'Azur,2025-01-01 00:16:03.327000+01:00,31676.263946475,5052832,4102.889,4217.2078,3607.7384,5148900.2093,34,93
Provence-Alpes-Côte d'Azur,2025-01-01 00:16:03.327000+01:00,31676.263946475,5052832,803.5092,1322.9902,4066.6122,994255.2181,5,93
Provence-Alpes-Côte d'Azur,2025-01-01 00:16:03.327000+01:00,31676.263946475,5052832,1757.9211,2413.7335,36668.2201,11117214.8823,6,93
Provence-Alpes-Côte d'Azur,2025-01-01 00:16:03.327000+01:00,31676.263946475,5052832,342.1257,513.6287,14269.1929,1255214.0226,7,93
Normandie,2025-01-01 00:14:02.815000+01:00,30119.61,3327966,925.08,2704.16,14568.71,13323605.02,219,28
Normandie,2025-01-01 00:14:02.815000+01:00,30119.61,3327966,5163.45,5332.93,4243.43,5234556.52,34,28
Normandie,2025-01-01 00:14:02.815000+01:00,30119.61,3327966,1969.5,6957.3,13363.05,8778967.4,5,28
Normandie,2025-01-01 00:14:02.815000+01:00,30119.61,3327966,1222.77,1637.87,23644.78,7857497.58,6,28
Normandie,2025-01-01 00:14:02.815000+01:00,30119.61,3327966,166.34,250.41,4046.3,234145.88,7,28
Occitanie,2025-01-01 00:16:03.325000+01:00,73406.0,5773744,3592.82,6203.09,8416.09,4417723.83,219,76
Occitanie,2025-01-01 00:16:03.325000+01:00,73406.0,5773744,7769.5,7938.78,5813.06,6257950.69,34,76
Occitanie,2025-01-01 00:16:03.325000+01:00,73406.0,5773744,1466.55,5565.92,11869.98,6073081.43,5,76
Occitanie,2025-01-01 00:16:03.325000+01:00,73406.0,5773744,2234.71,3015.42,45092.08,13460542.54,6,76
Occitanie,2025-01-01 00:16:03.325000+01:00,73406.0,5773744,160.35,310.92,2101.5,275322.12,7,76
Bourgogne-Franche-Comté,2025-04-24 09:18:03.271000+02:00,48008.82,2807826,1766.513403267,3606.534815739,6243.352183079,3131787.79269422,219,27
Bourgogne-Franche-Comté,2025-04-24 09:18:03.271000+02:00,48008.82,2807826,4549.457588728,4662.186191492,3804.535735922,3467997.29382806,34,27
Bourgogne-Franche-Comté,2025-04-24 09:18:03.271000+02:00,48008.82,2807826,1217.681994964,3982.850523084,15183.960472306,6987516.15480491,5,27
Bourgogne-Franche-Comté,2025-04-24 09:18:03.271000+02:00,48008.82,2807826,2488.112,3655.467,32429.041,8615558.596,6,27
Bourgogne-Franche-Comté,2025-04-24 09:18:03.271000+02:00,48008.82,2807826,172.390660378,411.016670403,487.138860055,48998.280806424,7,27
Corse,2025-05-09 12:10:03.486000+02:00,8754.29,338554,27.293857985,31.469339477,941.461891053,83810.727031407,7,94
Corse,2025-05-09 12:10:03.486000+02:00,8754.29,338554,200.693356927,309.820184094,2339.934941607,729801.585478413,6,94
Corse,2025-05-09 12:10:03.486000+02:00,8754.29,338554,0.0,33.459413959,25.655789801,243190.894279479,5,94
Corse,2025-05-09 12:10:03.486000+02:00,8754.29,338554,1067.61838599604,1090.03844305204,918.143698817291,2046801.80236085,34,94
Corse,2025-05-09 12:10:03.486000+02:00,8754.29,338554,8.864079834,150.375670065,3535.7464375,278909.390534376,219,94
Pays de la Loire,2025-01-01 00:08:03.335000+01:00,32073.04,3772851,1456.908836568,3450.009283255,11218.607687728,6337780.86932186,219,52
Pays de la Loire,2025-01-01 00:08:03.335000+01:00,32073.04,3772851,3658.035355665,3953.588681401,3918.591309495,4500901.00817816,34,52
Pays de la Loire,2025-01-01 00:08:03.335000+01:00,32073.04,3772851,1767.786604244,7643.902188785,3522.868475746,8666976.71740177,5,52
Pays de la Loire,2025-01-01 00:08:03.335000+01:00,32073.04,3772851,1214.755010382,1649.770816776,24875.42840271,7308983.98672971,6,52
Pays de la Loire,2025-01-01 00:08:03.335000+01:00,32073.04,3772851,170.261362955,373.291779971,4178.543084207,229743.431896058,7,52
Centre-Val de Loire,2025-01-01 00:09:03.102000+01:00,39470.10349,2572853,418.733266,1300.247323,4728.082701,2904501.753,219,24
Centre-Val de Loire,2025-01-01 00:09:03.102000+01:00,39470.10349,2572853,4863.17442,4980.299586,3287.087512,3558834.127,34,24
Centre-Val de Loire,2025-01-01 00:09:03.102000+01:00,39470.10349,2572853,1665.326729,7299.132887,2797.969518,3947700.739,5,24
Centre-Val de Loire,2025-01-01 00:09:03.102000+01:00,39470.10349,2572853,982.2897878,1294.787012,19789.16676,6257617.817,6,24
Centre-Val de Loire,2025-01-01 00:09:03.102000+01:00,39470.10349,2572853,100.0820773,233.970674,483.8884298,44770.44944,7,24
La Réunion,2025-01-01 00:10:03.327000+01:00,2503.0,861210,0.0,170.0,6835.0,2483216.0,219,4
La Réunion,2025-01-01 00:10:03.327000+01:00,2503.0,861210,0.0,0.0,0.0,0.0,34,4
La Réunion,2025-01-01 00:10:03.327000+01:00,2503.0,861210,163.0,315.0,730.0,227697.0,5,4
La Réunion,2025-01-01 00:10:03.327000+01:00,2503.0,861210,350.0,577.0,4356.0,1875057.0,6,4
La Réunion,2025-01-01 00:10:03.327000+01:00,2503.0,861210,80.0,88.0,2815.0,380143.0,7,4
Nouvelle-Aquitaine,2025-01-01 00:10:03.425000+01:00,85053.1410635,5985571,972.035772151,3876.820504448,10994.406071311,5515569.13144114,219,75
Nouvelle-Aquitaine,2025-01-01 00:10:03.425000+01:00,85053.1410635,5985571,10545.849679905,10801.992371862,8715.898117396,8857527.3627039,34,75
Nouvelle-Aquitaine,2025-01-01 00:10:03.425000+01:00,85053.1410635,5985571,2852.023591328,12023.322129537,20168.508819889,10394694.5448784,5,75
Nouvelle-Aquitaine,2025-01-01 00:10:03.425000+01:00,85053.1410635,5985571,2337.373797801,3290.261239414,48318.253282295,15293724.9414675,6,75
Nouvelle-Aquitaine,2025-01-01 00:10:03.425000+01:00,85053.1410635,5985571,180.607067693,361.998992045,3270.330248279,166777.086640953,7,75
Auvergne-Rhône-Alpes,2025-01-01 00:11:03.269000+01:00,70797.08,7983998,1662.96,5643.83,22371.62,9098826.36,5,84
Auvergne-Rhône-Alpes,2025-01-01 00:11:03.269000+01:00,70797.08,7983998,2696.79,3595.32,56222.38,16033495.46,6,84
Auvergne-Rhône-Alpes,2025-01-01 00:11:03.269000+01:00,70797.08,7983998,195.45,493.28,1649.84,331810.3,7,84
Auvergne-Rhône-Alpes,2025-01-01 00:11:03.269000+01:00,70797.08,7983998,21405.28,21903.62,9870.72,11159791.58,34,84
Auvergne-Rhône-Alpes,2025-01-01 00:11:03.269000+01:00,70797.08,7983998,2163.38,3383.64,19360.4,13077831.48,219,84
Bretagne,2025-01-01 00:11:03.446000+01:00,27209.0,3373835,2271.784138,10165.85652,12519.47928,9629425.345,5,53
Bretagne,2025-01-01 00:11:03.446000+01:00,27209.0,3373835,2260.58199,3278.103733,25911.61008,7593406.942,6,53
Bretagne,2025-01-01 00:11:03.446000+01:00,27209.0,3373835,150.8919189,216.6296898,3991.945764,214470.0631,7,53
Bretagne,2025-01-01 00:11:03.446000+01:00,27209.0,3373835,6464.419095,6618.244833,3912.467101,3867261.651,34,53
Bretagne,2025-01-01 00:11:03.446000+01:00,27209.0,3373835,1511.445391,3272.480984,4330.854663,2295743.262,219,53
Hauts-de-France,2025-01-01 00:12:03.048000+01:00,32010.87844,6004111,3420.22821,6462.844666,23838.28876,26658776.41,219,32
Hauts-de-France,2025-01-01 00:12:03.048000+01:00,32010.87844,6004111,7085.888157,7250.599306,8340.238203,9980753.901,34,32
Hauts-de-France,2025-01-01 00:12:03.048000+01:00,32010.87844,6004111,2081.31714,8842.806288,9872.923183,6997081.139,5,32
Hauts-de-France,2025-01-01 00:12:03.048000+01:00,32010.87844,6004111,1875.540974,2634.829626,40159.35736,12431699.74,6,32
Hauts-de-France,2025-01-01 00:12:03.048000+01:00,32010.87844,6004111,340.6338498,597.8031155,6693.642517,417803.8349,7,32
Île-de-France,2025-01-01 00:13:02.954000+01:00,12103.33864,12094570,573.1902351,2725.471485,2196.325717,753938.8763,5,11
Île-de-France,2025-01-01 00:13:02.954000+01:00,12103.33864,12094570,1708.825666,2562.352713,38662.65712,11919216.92,6,11
Île-de-France,2025-01-01 00:13:02.954000+01:00,12103.33864,12094570,421.5132367,789.9824092,7090.85983,1407129.941,7,11
Île-de-France,2025-01-01 00:13:02.954000+01:00,12103.33864,12094570,5013.761678,5213.6021,12490.60803,19147599.39,34,11
Île-de-France,2025-01-01 00:13:02.954000+01:00,12103.33864,12094570,1467.338359,3507.75369,12265.60097,7657981.272,219,11
Guadeloupe,2025-01-01 00:13:02.973000+01:00,1633.277824,387629,194.9448333,456.4459942,4129.598983,551495.5618,219,1
Guadeloupe,2025-01-01 00:13:02.973000+01:00,1633.277824,387629,28.84225709,31.60876757,28.0056307,1855036.388,34,1
Guadeloupe,2025-01-01 00:13:02.973000+01:00,1633.277824,387629,13.27485666,29.37165972,142.876367,100336.5429,5,1
Guadeloupe,2025-01-01 00:13:02.973000+01:00,1633.277824,387629,88.97754648,125.8763136,2369.543728,770372.0841,6,1
Guadeloupe,2025-01-01 00:13:02.973000+01:00,1633.277824,387629,31.23986119,40.82210792,380.0181731,36824.38107,7,1
Grand Est,2025-01-01 00:15:02.790000+01:00,57725.41219,5550389,1818.500237,4688.940143,22418.88393,15261309.7,219,44
Grand Est,2025-01-01 00:15:02.790000+01:00,57725.41219,5550389,18905.53947,19322.08264,9026.520982,9301538.392,34,44
Grand Est,2025-01-01 00:15:02.790000+01:00,57725.41219,5550389,3381.001075,14301.71277,22157.80221,7876346.548,5,44
Grand Est,2025-01-01 00:15:02.790000+01:00,57725.41219,5550389,1962.604205,2572.412816,36927.59588,11879589.67,6,44
Grand Est,2025-01-01 00:15:02.790000+01:00,57725.41219,5550389,225.3116304,487.4906517,1580.669285,246493.1987,7,44
