code_insee,date_echeance,alerte,code_ambr,code_arm,code_aul,code_boul,code_gram,code_oliv,conc_ambr,conc_arm,conc_aul,conc_boul,conc_gram,conc_oliv,pollen_resp,source
05061,2025-09-01,0,1,1,1,1,1,1,0.1,0.1,0,0,2.1,0,ALNUS AMBROSIA ARTEMISI BETULA GRAMINEE OLEA,AtmoSud
04070,2025-09-01,0,1,1,1,1,1,1,0.6,0.0,0,0,2.8,0,ALNUS AMBROSIA ARTEMISI BETULA GRAMINEE OLEA,AtmoSud
84007,2025-09-01,0,1,1,1,1,2,1,1.7,0.4,0,0,3.8,0,GRAMINEE,AtmoSud
06088,2025-09-01,0,1,1,1,1,2,1,0.4,0.2,0,0,3.1,0,GRAMINEE,AtmoSud
13004,2025-09-01,0,1,1,1,1,2,1,0.6,0.2,0,0,4.4,0,GRAMINEE,AtmoSud
13001,2025-09-01,0,2,1,1,1,1,1,3.2,0.1,0,0,2.9,0,AMBROSIA,AtmoSud
13055,2025-09-01,0,1,1,1,1,2,1,0.6,0.2,0,0,3.0,0,GRAMINEE,AtmoSud
83137,2025-09-01,0,1,1,1,1,1,1,0.1,0.0,0,0,2.8,0,ALNUS AMBROSIA ARTEMISI BETULA GRAMINEE OLEA,AtmoSud
05061,2025-09-02,0,1,1,1,1,2,1,1.0,0.1,0,0,3.4,0,GRAMINEE,AtmoSud
04070,2025-09-02,0,2,1,1,1,2,1,3.3,0.1,0,0,3.1,0,AMBROSIA GRAMINEE,AtmoSud
84007,2025-09-02,0,2,1,1,1,2,1,9.1,1.8,0,0,3.5,0,AMBROSIA GRAMINEE,AtmoSud
06088,2025-09-02,0,1,1,1,1,2,1,0.3,0.2,0,0,3.1,0,GRAMINEE,AtmoSud
13004,2025-09-02,0,1,1,1,1,2,1,1.9,0.3,0,0,4.7,0,GRAMINEE,AtmoSud
13001,2025-09-02,0,2,1,1,1,1,1,5.2,0.4,0,0,2.9,0,AMBROSIA,AtmoSud
13055,2025-09-02,0,1,1,1,1,1,1,1.0,0.4,0,0,2.6,0,ALNUS AMBROSIA ARTEMISI BETULA GRAMINEE OLEA,AtmoSud
83137,2025-09-02,0,1,1,1,1,1,1,0.7,0.2,0,0,2.5,0,ALNUS AMBROSIA ARTEMISI BETULA GRAMINEE OLEA,AtmoSud
05061,2025-09-03,0,1,1,1,1,2,1,0.9,0.3,0,0,3.7,0,GRAMINEE,AtmoSud
04070,2025-09-03,0,1,1,1,1,2,1,2.0,0.2,0,0,3.5,0,GRAMINEE,AtmoSud
84007,2025-09-03,0,2,2,1,1,2,1,3.1,3.2,0,0,5.7,0,AMBROSIA ARTEMISI GRAMINEE,AtmoSud
06088,2025-09-03,0,1,1,1,1,1,1,0.6,0.3,0,0,2.8,0,ALNUS AMBROSIA ARTEMISI BETULA GRAMINEE OLEA,AtmoSud
13004,2025-09-03,0,1,1,1,1,2,1,0.4,0.6,0,0,6.5,0,GRAMINEE,AtmoSud
13001,2025-09-03,0,2,1,1,1,2,1,3.9,0.6,0,0,4.3,0,AMBROSIA GRAMINEE,AtmoSud
13055,2025-09-03,0,1,1,1,1,2,1,0.7,0.5,0,0,3.9,0,GRAMINEE,AtmoSud
83137,2025-09-03,0,1,1,1,1,2,1,0.2,0.3,0,0,3.0,0,GRAMINEE,AtmoSud
