time,temperature_2m,relative_humidity_2m,precipitation,windspeed_10m,ville
2025-08-03 00:00:00,23.0,42,0.0,20.0,Marseille
2025-08-03 01:00:00,22.3,45,0.0,19.2,Marseille
2025-08-03 02:00:00,21.7,45,0.0,18.4,Marseille
2025-08-03 03:00:00,21.1,50,0.0,19.1,Marseille
2025-08-03 04:00:00,20.6,53,0.0,22.5,Marseille
2025-08-03 05:00:00,20.2,55,0.0,21.9,Marseille
2025-08-03 06:00:00,19.9,55,0.0,25.5,Marseille
2025-08-03 07:00:00,19.5,58,0.0,20.4,Marseille
2025-08-03 08:00:00,20.0,56,0.0,19.2,Marseille
2025-08-03 09:00:00,20.9,52,0.0,19.8,Marseille
2025-08-03 10:00:00,22.4,46,0.0,12.8,Marseille
2025-08-03 11:00:00,24.1,41,0.0,17.6,Marseille
2025-08-03 12:00:00,25.7,36,0.0,16.7,Marseille
2025-08-03 13:00:00,26.7,34,0.0,19.4,Marseille
2025-08-03 14:00:00,27.4,34,0.0,19.8,Marseille
2025-08-03 15:00:00,28.1,33,0.0,18.1,Marseille
2025-08-03 16:00:00,28.8,31,0.0,17.7,Marseille
2025-08-03 17:00:00,29.1,29,0.0,20.2,Marseille
2025-08-03 18:00:00,29.2,28,0.0,23.2,Marseille
2025-08-03 19:00:00,29.2,27,0.0,23.0,Marseille
2025-08-03 20:00:00,28.4,29,0.0,20.9,Marseille
2025-08-03 21:00:00,27.4,32,0.0,17.2,Marseille
2025-08-03 22:00:00,26.5,35,0.0,16.9,Marseille
2025-08-03 23:00:00,25.6,36,0.0,13.0,Marseille
2025-08-04 00:00:00,24.9,36,0.0,10.5,Marseille
2025-08-04 01:00:00,24.2,38,0.0,10.0,Marseille
2025-08-04 02:00:00,23.9,37,0.0,6.6,Marseille
2025-08-04 03:00:00,23.2,42,0.0,10.7,Marseille
2025-08-04 04:00:00,22.5,46,0.0,9.0,Marseille
2025-08-04 05:00:00,21.8,52,0.0,6.6,Marseille
2025-08-04 06:00:00,21.6,54,0.0,5.9,Marseille
2025-08-04 07:00:00,21.5,53,0.0,3.6,Marseille
2025-08-04 08:00:00,23.3,46,0.0,6.8,Marseille
2025-08-04 09:00:00,25.4,41,0.0,3.3,Marseille
2025-08-04 10:00:00,24.1,48,0.0,11.3,Marseille
2025-08-04 11:00:00,25.0,45,0.0,7.6,Marseille
2025-08-04 12:00:00,26.1,42,0.0,9.0,Marseille
2025-08-04 13:00:00,26.1,43,0.0,12.5,Marseille
2025-08-04 14:00:00,26.2,47,0.0,9.0,Marseille
2025-08-04 15:00:00,26.0,51,0.0,10.8,Marseille
2025-08-04 16:00:00,25.6,55,0.0,9.0,Marseille
2025-08-04 17:00:00,25.0,61,0.0,9.0,Marseille
2025-08-04 18:00:00,25.8,58,0.0,7.5,Marseille
2025-08-04 19:00:00,24.0,64,0.0,8.0,Marseille
2025-08-04 20:00:00,23.1,67,0.0,4.2,Marseille
2025-08-04 21:00:00,22.6,61,0.0,2.2,Marseille
2025-08-04 22:00:00,23.4,48,0.0,2.5,Marseille
2025-08-04 23:00:00,23.9,44,0.0,4.2,Marseille
2025-08-05 00:00:00,23.7,45,0.0,4.3,Marseille
2025-08-05 01:00:00,23.8,44,0.0,5.7,Marseille
2025-08-05 02:00:00,23.4,45,0.0,1.6,Marseille
2025-08-05 03:00:00,23.3,41,0.0,5.8,Marseille
2025-08-05 04:00:00,22.8,44,0.0,9.0,Marseille
2025-08-05 05:00:00,22.7,42,0.0,8.1,Marseille
2025-08-05 06:00:00,22.4,42,0.0,4.7,Marseille
2025-08-05 07:00:00,21.7,42,0.0,3.2,Marseille
2025-08-05 08:00:00,23.7,36,0.0,2.8,Marseille
2025-08-05 09:00:00,25.1,35,0.0,4.3,Marseille
2025-08-05 10:00:00,24.7,40,0.0,6.9,Marseille
2025-08-05 11:00:00,25.0,44,0.0,5.8,Marseille
2025-08-05 12:00:00,24.3,53,0.0,8.3,Marseille
2025-08-05 13:00:00,24.7,60,0.0,5.8,Marseille
2025-08-05 14:00:00,26.3,53,0.0,6.5,Marseille
2025-08-05 15:00:00,26.2,53,0.0,7.4,Marseille
2025-08-05 16:00:00,26.1,52,0.0,6.0,Marseille
2025-08-05 17:00:00,25.5,59,0.0,7.0,Marseille
2025-08-05 18:00:00,26.0,54,0.0,5.5,Marseille
2025-08-05 19:00:00,25.5,63,0.0,9.1,Marseille
2025-08-05 20:00:00,26.6,56,0.0,2.8,Marseille
2025-08-05 21:00:00,25.8,62,0.0,1.1,Marseille
2025-08-05 22:00:00,24.7,70,0.0,4.1,Marseille
2025-08-05 23:00:00,24.1,73,0.0,4.5,Marseille
2025-08-06 00:00:00,25.3,61,0.0,4.8,Marseille
2025-08-06 01:00:00,27.6,39,0.0,15.8,Marseille
2025-08-06 02:00:00,26.8,45,0.0,14.4,Marseille
2025-08-06 03:00:00,25.6,47,0.0,13.7,Marseille
2025-08-06 04:00:00,24.5,47,0.0,8.3,Marseille
2025-08-06 05:00:00,23.2,47,0.0,15.0,Marseille
2025-08-06 06:00:00,22.4,47,0.0,12.4,Marseille
2025-08-06 07:00:00,21.8,48,0.0,11.3,Marseille
2025-08-06 08:00:00,22.2,46,0.0,10.1,Marseille
2025-08-06 09:00:00,23.8,46,0.0,6.4,Marseille
2025-08-06 10:00:00,25.2,47,0.0,5.4,Marseille
2025-08-06 11:00:00,25.9,44,0.0,8.8,Marseille
2025-08-06 12:00:00,26.4,47,0.0,11.2,Marseille
2025-08-06 13:00:00,26.6,58,0.0,10.5,Marseille
2025-08-06 14:00:00,27.1,55,0.0,8.1,Marseille
2025-08-06 15:00:00,26.7,60,0.0,10.5,Marseille
2025-08-06 16:00:00,25.5,67,0.0,8.6,Marseille
2025-08-06 17:00:00,24.7,68,0.0,6.6,Marseille
2025-08-06 18:00:00,25.3,64,0.0,2.9,Marseille
2025-08-06 19:00:00,25.0,65,0.0,5.9,Marseille
2025-08-06 20:00:00,25.4,63,0.0,8.1,Marseille
2025-08-06 21:00:00,24.4,70,0.0,6.7,Marseille
2025-08-06 22:00:00,23.6,71,0.0,4.0,Marseille
2025-08-06 23:00:00,23.0,76,0.0,4.0,Marseille
2025-08-07 00:00:00,24.0,63,0.0,4.3,Marseille
2025-08-07 01:00:00,23.0,75,0.0,2.3,Marseille
2025-08-07 02:00:00,22.9,73,0.0,4.0,Marseille
2025-08-07 03:00:00,23.0,71,0.0,0.8,Marseille
2025-08-07 04:00:00,23.0,58,0.0,4.6,Marseille
2025-08-07 05:00:00,23.2,56,0.0,7.2,Marseille
2025-08-07 06:00:00,23.4,54,0.0,7.3,Marseille
2025-08-07 07:00:00,23.0,57,0.0,3.0,Marseille
2025-08-07 08:00:00,24.4,53,0.0,4.0,Marseille
2025-08-07 09:00:00,26.5,47,0.0,7.6,Marseille
2025-08-07 10:00:00,28.6,40,0.0,5.9,Marseille
2025-08-07 11:00:00,27.0,51,0.0,11.3,Marseille
2025-08-07 12:00:00,31.0,33,0.0,11.3,Marseille
2025-08-07 13:00:00,30.5,40,0.0,15.0,Marseille
2025-08-07 14:00:00,26.7,67,0.0,15.8,Marseille
2025-08-07 15:00:00,26.2,69,0.0,13.8,Marseille
2025-08-07 16:00:00,26.2,68,0.0,13.0,Marseille
2025-08-07 17:00:00,26.0,70,0.0,10.0,Marseille
2025-08-07 18:00:00,25.8,67,0.0,10.9,Marseille
2025-08-07 19:00:00,25.7,63,0.0,9.0,Marseille
2025-08-07 20:00:00,24.8,68,0.0,5.8,Marseille
2025-08-07 21:00:00,23.9,74,0.0,4.8,Marseille
2025-08-07 22:00:00,23.9,70,0.0,3.3,Marseille
2025-08-07 23:00:00,24.3,61,0.0,2.5,Marseille
2025-08-08 00:00:00,24.2,60,0.0,3.5,Marseille
2025-08-08 01:00:00,24.0,62,0.0,2.3,Marseille
2025-08-08 02:00:00,23.8,59,0.0,2.1,Marseille
2025-08-08 03:00:00,23.9,61,0.0,2.7,Marseille
2025-08-08 04:00:00,23.9,60,0.0,3.9,Marseille
2025-08-08 05:00:00,23.5,64,0.0,5.8,Marseille
2025-08-08 06:00:00,23.4,62,0.0,3.6,Marseille
2025-08-08 07:00:00,23.1,65,0.0,4.7,Marseille
2025-08-08 08:00:00,24.8,57,0.0,4.0,Marseille
