time,temperature_2m,relative_humidity_2m,precipitation,windspeed_10m,ville
2025-06-01 00:00:00,18.9,96,0.0,5.0,Marseille
2025-06-01 01:00:00,18.4,98,0.0,2.9,Marseille
2025-06-01 02:00:00,18.2,100,0.0,3.6,Marseille
2025-06-01 03:00:00,18.4,99,0.0,1.1,Marseille
2025-06-01 04:00:00,18.6,98,0.0,0.0,Marseille
2025-06-01 05:00:00,18.7,97,0.0,0.4,Marseille
2025-06-01 06:00:00,18.8,95,0.0,0.5,Marseille
2025-06-01 07:00:00,18.8,95,0.0,1.4,Marseille
2025-06-01 08:00:00,19.7,91,0.0,2.6,Marseille
2025-06-01 09:00:00,20.3,90,0.0,7.5,Marseille
2025-06-01 10:00:00,20.4,90,0.0,9.5,Marseille
2025-06-01 11:00:00,20.6,89,0.0,8.8,Marseille
2025-06-01 12:00:00,21.4,86,0.0,9.2,Marseille
2025-06-01 13:00:00,22.6,80,0.0,10.7,Marseille
2025-06-01 14:00:00,26.6,61,0.0,12.3,Marseille
2025-06-01 15:00:00,27.8,51,0.0,11.9,Marseille
2025-06-01 16:00:00,28.2,46,0.0,14.9,Marseille
2025-06-01 17:00:00,27.5,47,0.0,14.6,Marseille
2025-06-01 18:00:00,26.7,46,0.0,13.8,Marseille
2025-06-01 19:00:00,25.7,47,0.0,11.5,Marseille
2025-06-01 20:00:00,25.0,53,0.0,10.7,Marseille
2025-06-01 21:00:00,23.7,61,0.0,10.2,Marseille
2025-06-01 22:00:00,22.3,71,0.0,10.8,Marseille
2025-06-01 23:00:00,21.6,78,0.0,13.3,Marseille
2025-06-02 00:00:00,21.2,80,0.0,13.4,Marseille
2025-06-02 01:00:00,20.9,81,0.0,11.8,Marseille
2025-06-02 02:00:00,20.5,81,0.0,7.1,Marseille
2025-06-02 03:00:00,19.7,86,0.0,5.8,Marseille
2025-06-02 04:00:00,20.3,78,0.0,8.2,Marseille
2025-06-02 05:00:00,21.3,61,0.0,8.3,Marseille
2025-06-02 06:00:00,20.2,76,0.0,9.9,Marseille
2025-06-02 07:00:00,19.2,93,0.0,12.7,Marseille
2025-06-02 08:00:00,19.4,90,0.1,10.5,Marseille
2025-06-02 09:00:00,20.2,83,0.2,6.5,Marseille
2025-06-02 10:00:00,21.6,75,0.0,4.5,Marseille
2025-06-02 11:00:00,21.8,78,0.0,7.3,Marseille
2025-06-02 12:00:00,22.2,76,0.0,6.1,Marseille
2025-06-02 13:00:00,24.4,63,0.0,6.5,Marseille
2025-06-02 14:00:00,24.1,60,0.0,7.2,Marseille
2025-06-02 15:00:00,21.9,78,0.0,6.5,Marseille
2025-06-02 16:00:00,21.9,77,0.0,9.8,Marseille
2025-06-02 17:00:00,21.9,77,0.0,5.2,Marseille
