aasqa,date_maj,alerte,code_ambr,code_arm,code_aul,code_boul,code_gram,code_oliv,code_zone,conc_ambr,conc_arm,conc_aul,conc_boul,conc_gram,conc_oliv,date_dif,date_ech,lib_qual,lib_zone,type_zone,pollen_resp,source,code_qual
93,2025-06-27 14:09:03.370000+02:00,1,1,1,1,1,4,1,5061,0,0,0,0.2,85.4,0.2,2025/06/27,2025-06-27,Élevé,Gap,commune,GRAMINEE,AtmoSud,4
93,2025-06-27 14:09:03.370000+02:00,1,1,1,1,1,4,1,4070,0,0,0,0.1,72.5,0.0,2025/06/27,2025-06-27,Élevé,Digne-les-Bains,commune,GRAMINEE,AtmoSud,4
93,2025-06-27 14:09:03.370000+02:00,1,1,1,1,1,4,1,84007,0,0,0,0.0,78.2,0.0,2025/06/27,2025-06-27,Élevé,Avignon,commune,GRAMINEE,AtmoSud,4
93,2025-06-27 14:09:03.370000+02:00,1,1,1,1,1,4,1,6088,0,0,0,0.4,64.4,0.9,2025/06/27,2025-06-27,Élevé,Nice,commune,GRAMINEE,AtmoSud,4
93,2025-06-27 14:09:03.370000+02:00,1,1,1,1,1,4,1,13004,0,0,0,0.0,81.5,0.0,2025/06/27,2025-06-27,Élevé,Arles,commune,GRAMINEE,AtmoSud,4
93,2025-06-27 14:09:03.370000+02:00,1,1,1,1,1,4,1,13001,0,0,0,0.0,75.3,0.0,2025/06/27,2025-06-27,Élevé,Aix-en-Provence,commune,GRAMINEE,AtmoSud,4
93,2025-06-27 14:09:03.370000+02:00,1,1,1,1,1,4,1,13055,0,0,0,0.0,76.3,0.0,2025/06/27,2025-06-27,Élevé,Marseille,commune,GRAMINEE,AtmoSud,4
93,2025-06-27 14:09:03.370000+02:00,1,1,1,1,1,4,1,83137,0,0,0,0.0,64.6,0.1,2025/06/27,2025-06-27,Élevé,Toulon,commune,GRAMINEE,AtmoSud,4
93,2025-06-27 14:09:03.370000+02:00,1,1,1,1,1,4,1,5061,0,0,0,0.4,90.3,0.2,2025/06/27,2025-06-28,Élevé,Gap,commune,GRAMINEE,AtmoSud,4
93,2025-06-27 14:09:03.370000+02:00,1,1,1,1,1,4,1,4070,0,0,0,0.3,67.0,0.0,2025/06/27,2025-06-28,Élevé,Digne-les-Bains,commune,GRAMINEE,AtmoSud,4
93,2025-06-27 14:09:03.370000+02:00,1,1,1,1,1,4,1,84007,0,0,0,0.0,76.7,0.0,2025/06/27,2025-06-28,Élevé,Avignon,commune,GRAMINEE,AtmoSud,4
93,2025-06-27 14:09:03.370000+02:00,1,1,1,1,1,4,1,6088,0,0,0,1.5,55.5,0.6,2025/06/27,2025-06-28,Élevé,Nice,commune,GRAMINEE,AtmoSud,4
93,2025-06-27 14:09:03.370000+02:00,1,1,1,1,1,4,1,13004,0,0,0,0.0,80.6,0.0,2025/06/27,2025-06-28,Élevé,Arles,commune,GRAMINEE,AtmoSud,4
93,2025-06-27 14:09:03.370000+02:00,1,1,1,1,1,4,1,13001,0,0,0,0.2,66.9,0.1,2025/06/27,2025-06-28,Élevé,Aix-en-Provence,commune,GRAMINEE,AtmoSud,4
93,2025-06-27 14:09:03.370000+02:00,1,1,1,1,1,4,1,13055,0,0,0,0.3,64.9,0.0,2025/06/27,2025-06-28,Élevé,Marseille,commune,GRAMINEE,AtmoSud,4
93,2025-06-27 14:09:03.370000+02:00,1,1,1,1,1,4,1,83137,0,0,0,0.5,58.6,0.0,2025/06/27,2025-06-28,Élevé,Toulon,commune,GRAMINEE,AtmoSud,4
93,2025-06-27 14:09:03.370000+02:00,1,1,1,1,1,4,1,5061,0,0,0,1.0,84.3,0.2,2025/06/27,2025-06-29,Élevé,Gap,commune,GRAMINEE,AtmoSud,4
93,2025-06-27 14:09:03.370000+02:00,1,1,1,1,1,4,1,4070,0,0,0,1.5,65.6,0.0,2025/06/27,2025-06-29,Élevé,Digne-les-Bains,commune,GRAMINEE,AtmoSud,4
93,2025-06-27 14:09:03.370000+02:00,1,1,1,1,1,4,1,84007,0,0,0,0.3,78.0,0.0,2025/06/27,2025-06-29,Élevé,Avignon,commune,GRAMINEE,AtmoSud,4
93,2025-06-27 14:09:03.370000+02:00,1,1,1,1,1,4,1,6088,0,0,0,2.1,58.9,0.5,2025/06/27,2025-06-29,Élevé,Nice,commune,GRAMINEE,AtmoSud,4
93,2025-06-27 14:09:03.370000+02:00,1,1,1,1,1,4,1,13004,0,0,0,0.3,81.1,0.0,2025/06/27,2025-06-29,Élevé,Arles,commune,GRAMINEE,AtmoSud,4
93,2025-06-27 14:09:03.370000+02:00,1,1,1,1,1,4,1,13001,0,0,0,0.4,68.4,0.0,2025/06/27,2025-06-29,Élevé,Aix-en-Provence,commune,GRAMINEE,AtmoSud,4
93,2025-06-27 14:09:03.370000+02:00,1,1,1,1,1,4,1,13055,0,0,0,0.5,65.8,0.0,2025/06/27,2025-06-29,Élevé,Marseille,commune,GRAMINEE,AtmoSud,4
93,2025-06-27 14:09:03.370000+02:00,1,1,1,1,1,4,1,83137,0,0,0,0.5,60.7,0.0,2025/06/27,2025-06-29,Élevé,Toulon,commune,GRAMINEE,AtmoSud,4
