aasqa;date_maj;etat;lib_zone;lib_pol;date_ech;date_dif;code_zone;code_pol
93;2025/09/02 10:03:04.963+02;PAS DE DEPASSEMENT;ALPES-DE-HAUTE-PROVENCE;Particules PM10;2025-09-01;2025/09/01;4;5
93;2025/09/02 10:03:04.963+02;PAS DE DEPASSEMENT;ALPES-DE-HAUTE-PROVENCE;Ozone;2025-09-01;2025/09/01;4;7
93;2025/09/02 10:03:04.963+02;PAS DE DEPASSEMENT;ALPES-DE-HAUTE-PROVENCE;Particules PM10;2025-09-02;2025/09/01;4;5
93;2025/09/02 10:03:04.963+02;PAS DE DEPASSEMENT;ALPES-DE-HAUTE-PROVENCE;Ozone;2025-09-02;2025/09/01;4;7
93;2025/09/02 10:03:04.963+02;PAS DE DEPASSEMENT;HAUTES-ALPES;Particules PM10;2025-09-01;2025/09/01;5;5
93;2025/09/02 10:03:04.963+02;PAS DE DEPASSEMENT;HAUTES-ALPES;Ozone;2025-09-01;2025/09/01;5;7
93;2025/09/02 10:03:04.963+02;PAS DE DEPASSEMENT;HAUTES-ALPES;Particules PM10;2025-09-02;2025/09/01;5;5
93;2025/09/02 10:03:04.963+02;PAS DE DEPASSEMENT;HAUTES-ALPES;Ozone;2025-09-02;2025/09/01;5;7
93;2025/09/02 10:03:04.963+02;PAS DE DEPASSEMENT;ALPES-MARITIMES;Particules PM10;2025-09-01;2025/09/01;6;5
93;2025/09/02 10:03:04.963+02;PAS DE DEPASSEMENT;ALPES-MARITIMES;Ozone;2025-09-01;2025/09/01;6;7
93;2025/09/02 10:03:04.963+02;PAS DE DEPASSEMENT;ALPES-MARITIMES;Particules PM10;2025-09-02;2025/09/01;6;5
93;2025/09/02 10:03:04.963+02;PAS DE DEPASSEMENT;ALPES-MARITIMES;Ozone;2025-09-02;2025/09/01;6;7
93;2025/09/02 10:03:04.963+02;PAS DE DEPASSEMENT;BOUCHES-DU-RHﾃ年E;Particules PM10;2025-09-01;2025/09/01;13;5
93;2025/09/02 10:03:04.963+02;PAS DE DEPASSEMENT;BOUCHES-DU-RHﾃ年E;Ozone;2025-09-01;2025/09/01;13;7
93;2025/09/02 10:03:04.963+02;PAS DE DEPASSEMENT;BOUCHES-DU-RHﾃ年E;Particules PM10;2025-09-02;2025/09/01;13;5
93;2025/09/02 10:03:04.963+02;PAS DE DEPASSEMENT;BOUCHES-DU-RHﾃ年E;Ozone;2025-09-02;2025/09/01;13;7
93;2025/09/02 10:03:04.963+02;PAS DE DEPASSEMENT;VAR;Particules PM10;2025-09-01;2025/09/01;83;5
93;2025/09/02 10:03:04.963+02;PAS DE DEPASSEMENT;VAR;Ozone;2025-09-01;2025/09/01;83;7
93;2025/09/02 10:03:04.963+02;PAS DE DEPASSEMENT;VAR;Particules PM10;2025-09-02;2025/09/01;83;5
93;2025/09/02 10:03:04.963+02;PAS DE DEPASSEMENT;VAR;Ozone;2025-09-02;2025/09/01;83;7
93;2025/09/02 10:03:04.963+02;PAS DE DEPASSEMENT;VAUCLUSE;Particules PM10;2025-09-01;2025/09/01;84;5
93;2025/09/02 10:03:04.963+02;PAS DE DEPASSEMENT;VAUCLUSE;Ozone;2025-09-01;2025/09/01;84;7
93;2025/09/02 10:03:04.963+02;PAS DE DEPASSEMENT;VAUCLUSE;Particules PM10;2025-09-02;2025/09/01;84;5
93;2025/09/02 10:03:04.963+02;PAS DE DEPASSEMENT;VAUCLUSE;Ozone;2025-09-02;2025/09/01;84;7
