time;temperature_2m;relative_humidity_2m;precipitation;windspeed_10m;ville
2025-08-03T00:00;23.0;42;0.0;20.0;Marseille
2025-08-03T01:00;22.3;45;0.0;19.2;Marseille
2025-08-03T02:00;21.7;45;0.0;18.4;Marseille
2025-08-03T03:00;21.1;50;0.0;19.1;Marseille
2025-08-03T04:00;20.6;53;0.0;22.5;Marseille
2025-08-03T05:00;20.2;55;0.0;21.9;Marseille
2025-08-03T06:00;19.9;55;0.0;25.5;Marseille
2025-08-03T07:00;19.5;58;0.0;20.4;Marseille
2025-08-03T08:00;20.0;56;0.0;19.2;Marseille
2025-08-03T09:00;20.9;52;0.0;19.8;Marseille
2025-08-03T10:00;22.4;46;0.0;12.8;Marseille
2025-08-03T11:00;24.1;41;0.0;17.6;Marseille
2025-08-03T12:00;25.7;36;0.0;16.7;Marseille
2025-08-03T13:00;26.7;34;0.0;19.4;Marseille
2025-08-03T14:00;27.4;34;0.0;19.8;Marseille
2025-08-03T15:00;28.1;33;0.0;18.1;Marseille
2025-08-03T16:00;28.8;31;0.0;17.7;Marseille
2025-08-03T17:00;29.1;29;0.0;20.2;Marseille
2025-08-03T18:00;29.2;28;0.0;23.2;Marseille
2025-08-03T19:00;29.2;27;0.0;23.0;Marseille
2025-08-03T20:00;28.4;29;0.0;20.9;Marseille
2025-08-03T21:00;27.4;32;0.0;17.2;Marseille
2025-08-03T22:00;26.5;35;0.0;16.9;Marseille
2025-08-03T23:00;25.6;36;0.0;13.0;Marseille
2025-08-04T00:00;24.9;36;0.0;10.5;Marseille
2025-08-04T01:00;24.2;38;0.0;10.0;Marseille
2025-08-04T02:00;23.9;37;0.0;6.6;Marseille
2025-08-04T03:00;23.2;42;0.0;10.7;Marseille
2025-08-04T04:00;22.5;46;0.0;9.0;Marseille
2025-08-04T05:00;21.8;52;0.0;6.6;Marseille
2025-08-04T06:00;21.6;54;0.0;5.9;Marseille
2025-08-04T07:00;21.5;53;0.0;3.6;Marseille
2025-08-04T08:00;23.3;46;0.0;6.8;Marseille
2025-08-04T09:00;25.4;41;0.0;3.3;Marseille
2025-08-04T10:00;24.1;48;0.0;11.3;Marseille
2025-08-04T11:00;25.0;45;0.0;7.6;Marseille
2025-08-04T12:00;26.1;42;0.0;9.0;Marseille
2025-08-04T13:00;26.1;43;0.0;12.5;Marseille
2025-08-04T14:00;26.2;47;0.0;9.0;Marseille
2025-08-04T15:00;26.0;51;0.0;10.8;Marseille
2025-08-04T16:00;25.6;55;0.0;9.0;Marseille
2025-08-04T17:00;25.0;61;0.0;9.0;Marseille
2025-08-04T18:00;25.8;58;0.0;7.5;Marseille
2025-08-04T19:00;24.0;64;0.0;8.0;Marseille
2025-08-04T20:00;23.1;67;0.0;4.2;Marseille
2025-08-04T21:00;22.6;61;0.0;2.2;Marseille
2025-08-04T22:00;23.4;48;0.0;2.5;Marseille
2025-08-04T23:00;23.9;44;0.0;4.2;Marseille
2025-08-05T00:00;23.7;45;0.0;4.3;Marseille
2025-08-05T01:00;23.8;44;0.0;5.7;Marseille
2025-08-05T02:00;23.4;45;0.0;1.6;Marseille
2025-08-05T03:00;23.3;41;0.0;5.8;Marseille
2025-08-05T04:00;22.8;44;0.0;9.0;Marseille
2025-08-05T05:00;22.7;42;0.0;8.1;Marseille
2025-08-05T06:00;22.4;42;0.0;4.7;Marseille
2025-08-05T07:00;21.7;42;0.0;3.2;Marseille
2025-08-05T08:00;23.7;36;0.0;2.8;Marseille
2025-08-05T09:00;25.1;35;0.0;4.3;Marseille
2025-08-05T10:00;24.7;40;0.0;6.9;Marseille
2025-08-05T11:00;25.0;44;0.0;5.8;Marseille
2025-08-05T12:00;24.3;53;0.0;8.3;Marseille
2025-08-05T13:00;24.7;60;0.0;5.8;Marseille
2025-08-05T14:00;26.3;53;0.0;6.5;Marseille
2025-08-05T15:00;26.2;53;0.0;7.4;Marseille
2025-08-05T16:00;26.1;52;0.0;6.0;Marseille
