time;temperature_2m;relative_humidity_2m;precipitation;windspeed_10m;ville
2025-06-01T00:00;18.2;90;0.0;2.0;Aix-en-Provence
2025-06-01T01:00;17.5;92;0.0;2.8;Aix-en-Provence
2025-06-01T02:00;17.0;94;0.0;2.1;Aix-en-Provence
2025-06-01T03:00;16.9;94;0.0;0.8;Aix-en-Provence
2025-06-01T04:00;16.5;95;0.0;1.8;Aix-en-Provence
2025-06-01T05:00;16.3;94;0.0;3.8;Aix-en-Provence
2025-06-01T06:00;15.6;97;0.0;4.8;Aix-en-Provence
2025-06-01T07:00;15.7;96;0.0;5.2;Aix-en-Provence
2025-06-01T08:00;18.4;81;0.0;3.7;Aix-en-Provence
2025-06-01T09:00;22.4;65;0.0;0.5;Aix-en-Provence
2025-06-01T10:00;24.4;56;0.0;2.6;Aix-en-Provence
2025-06-01T11:00;26.9;44;0.0;6.8;Aix-en-Provence
2025-06-01T12:00;28.3;43;0.0;11.7;Aix-en-Provence
2025-06-01T13:00;28.8;44;0.0;15.4;Aix-en-Provence
2025-06-01T14:00;29.0;41;0.0;17.3;Aix-en-Provence
2025-06-01T15:00;29.5;35;0.0;19.4;Aix-en-Provence
2025-06-01T16:00;29.4;31;0.0;19.7;Aix-en-Provence
2025-06-01T17:00;29.0;33;0.0;16.6;Aix-en-Provence
2025-06-01T18:00;28.0;37;0.0;15.8;Aix-en-Provence
2025-06-01T19:00;26.3;46;0.0;14.2;Aix-en-Provence
2025-06-01T20:00;25.0;49;0.0;11.0;Aix-en-Provence
2025-06-01T21:00;23.2;55;0.0;5.8;Aix-en-Provence
2025-06-01T22:00;21.3;64;0.0;3.3;Aix-en-Provence
2025-06-01T23:00;19.8;71;0.0;3.4;Aix-en-Provence
2025-06-02T00:00;19.2;75;0.0;2.5;Aix-en-Provence
2025-06-02T01:00;19.0;74;0.0;2.3;Aix-en-Provence
2025-06-02T02:00;19.4;70;0.0;1.5;Aix-en-Provence
2025-06-02T03:00;19.2;69;0.0;2.2;Aix-en-Provence
2025-06-02T04:00;18.3;71;0.0;5.0;Aix-en-Provence
2025-06-02T05:00;18.1;67;0.0;5.4;Aix-en-Provence
2025-06-02T06:00;18.3;67;0.0;7.7;Aix-en-Provence
2025-06-02T07:00;18.7;66;0.0;3.3;Aix-en-Provence
2025-06-02T08:00;20.0;65;0.0;1.5;Aix-en-Provence
2025-06-02T09:00;21.0;59;0.0;6.0;Aix-en-Provence
2025-06-02T10:00;21.4;59;0.2;6.6;Aix-en-Provence
2025-06-02T11:00;23.2;55;0.0;6.5;Aix-en-Provence
2025-06-02T12:00;25.1;49;0.0;3.8;Aix-en-Provence
2025-06-02T13:00;25.9;48;0.0;7.7;Aix-en-Provence
2025-06-02T14:00;25.1;54;0.0;11.4;Aix-en-Provence
2025-06-02T15:00;25.3;53;0.0;15.5;Aix-en-Provence
2025-06-02T16:00;25.3;53;0.0;16.2;Aix-en-Provence
2025-06-02T17:00;26.1;52;0.0;18.4;Aix-en-Provence
2025-06-02T18:00;25.1;59;0.0;13.7;Aix-en-Provence
2025-06-02T19:00;24.8;58;0.0;9.2;Aix-en-Provence
2025-06-02T20:00;24.1;60;0.0;5.6;Aix-en-Provence
2025-06-02T21:00;23.0;67;0.0;5.5;Aix-en-Provence
2025-06-02T22:00;21.7;73;0.0;3.4;Aix-en-Provence
2025-06-02T23:00;19.6;80;0.0;5.6;Aix-en-Provence
2025-06-03T00:00;18.6;84;0.0;4.6;Aix-en-Provence
2025-06-03T01:00;17.5;87;0.0;4.9;Aix-en-Provence
2025-06-03T02:00;17.0;89;0.0;6.4;Aix-en-Provence
2025-06-03T03:00;16.4;90;0.0;6.0;Aix-en-Provence
2025-06-03T04:00;16.1;89;0.0;6.9;Aix-en-Provence
2025-06-03T05:00;16.3;87;0.0;7.3;Aix-en-Provence
2025-06-03T06:00;16.5;87;0.0;6.5;Aix-en-Provence
2025-06-03T07:00;17.1;84;0.0;6.9;Aix-en-Provence
2025-06-03T08:00;19.9;77;0.0;5.3;Aix-en-Provence
2025-06-03T09:00;23.1;64;0.0;5.8;Aix-en-Provence
2025-06-03T10:00;25.1;58;0.0;9.2;Aix-en-Provence
2025-06-03T11:00;26.8;45;0.0;10.4;Aix-en-Provence
2025-06-03T12:00;28.5;40;0.0;11.2;Aix-en-Provence
2025-06-03T13:00;29.9;31;0.0;15.1;Aix-en-Provence
2025-06-03T14:00;30.2;32;0.0;15.6;Aix-en-Provence
2025-06-03T15:00;30.3;31;0.0;20.2;Aix-en-Provence
2025-06-03T16:00;30.5;28;0.0;22.8;Aix-en-Provence
2025-06-03T17:00;30.5;30;0.0;22.9;Aix-en-Provence
2025-06-03T18:00;29.7;30;0.0;23.5;Aix-en-Provence
2025-06-03T19:00;28.4;30;0.0;22.4;Aix-en-Provence
2025-06-03T20:00;26.6;39;0.0;19.0;Aix-en-Provence
2025-06-03T21:00;24.2;50;0.0;13.7;Aix-en-Provence
2025-06-03T22:00;22.8;54;0.0;16.2;Aix-en-Provence
2025-06-03T23:00;22.1;57;0.0;9.7;Aix-en-Provence
2025-06-04T00:00;21.6;57;0.0;10.9;Aix-en-Provence
2025-06-04T01:00;21.2;57;0.0;11.6;Aix-en-Provence
2025-06-04T02:00;20.6;60;0.0;17.9;Aix-en-Provence
2025-06-04T03:00;20.2;63;0.0;18.9;Aix-en-Provence
2025-06-04T04:00;20.0;64;0.0;21.8;Aix-en-Provence
2025-06-04T05:00;19.5;68;0.0;25.8;Aix-en-Provence
2025-06-04T06:00;19.2;76;0.0;22.2;Aix-en-Provence
2025-06-04T07:00;19.5;80;0.0;18.0;Aix-en-Provence
2025-06-04T08:00;21.0;75;0.0;26.8;Aix-en-Provence
