time;temperature_2m;relative_humidity_2m;precipitation;windspeed_10m;ville
2025-06-01T00:00;18.1;96;0.0;4.6;Arles
2025-06-01T01:00;17.9;98;0.0;4.7;Arles
2025-06-01T02:00;17.7;98;0.0;3.7;Arles
2025-06-01T03:00;17.6;98;0.0;2.8;Arles
2025-06-01T04:00;17.4;99;0.0;2.5;Arles
2025-06-01T05:00;16.7;99;0.0;3.1;Arles
2025-06-01T06:00;16.2;99;0.0;4.6;Arles
2025-06-01T07:00;16.1;100;0.0;5.4;Arles
2025-06-01T08:00;16.6;99;0.0;5.4;Arles
2025-06-01T09:00;18.9;90;0.0;4.0;Arles
2025-06-01T10:00;21.6;78;0.0;1.3;Arles
2025-06-01T11:00;24.0;67;0.0;3.7;Arles
2025-06-01T12:00;26.0;61;0.0;9.9;Arles
2025-06-01T13:00;26.7;58;0.0;14.9;Arles
2025-06-01T14:00;27.3;50;0.0;17.3;Arles
2025-06-01T15:00;27.9;47;0.0;13.1;Arles
2025-06-01T16:00;27.5;50;0.0;11.7;Arles
2025-06-01T17:00;26.8;55;0.0;12.2;Arles
2025-06-01T18:00;25.8;60;0.0;10.9;Arles
2025-06-01T19:00;24.2;66;0.0;23.3;Arles
2025-06-01T20:00;22.6;74;0.0;14.1;Arles
2025-06-01T21:00;21.3;81;0.0;7.0;Arles
2025-06-01T22:00;20.2;86;0.0;11.7;Arles
2025-06-01T23:00;19.4;90;0.0;6.7;Arles
2025-06-02T00:00;18.8;92;0.0;9.4;Arles
2025-06-02T01:00;18.6;92;0.0;5.2;Arles
2025-06-02T02:00;18.4;92;0.0;3.7;Arles
2025-06-02T03:00;18.4;90;0.0;7.9;Arles
2025-06-02T04:00;18.8;86;0.0;8.0;Arles
2025-06-02T05:00;18.5;90;0.0;7.1;Arles
2025-06-02T06:00;18.2;92;0.0;2.8;Arles
2025-06-02T07:00;18.3;93;0.0;5.0;Arles
2025-06-02T08:00;19.2;89;0.0;11.4;Arles
2025-06-02T09:00;19.8;86;0.0;9.5;Arles
2025-06-02T10:00;21.0;81;0.0;8.7;Arles
2025-06-02T11:00;22.4;75;0.0;5.0;Arles
2025-06-02T12:00;23.6;69;0.0;5.4;Arles
2025-06-02T13:00;24.6;63;0.0;1.8;Arles
2025-06-02T14:00;25.2;65;0.0;5.4;Arles
2025-06-02T15:00;25.2;64;0.0;11.2;Arles
2025-06-02T16:00;25.0;64;0.0;12.6;Arles
2025-06-02T17:00;25.3;55;0.0;13.5;Arles
2025-06-02T18:00;24.9;51;0.0;12.3;Arles
2025-06-02T19:00;23.8;55;0.0;13.7;Arles
2025-06-02T20:00;22.2;66;0.0;8.3;Arles
2025-06-02T21:00;21.3;74;0.0;5.1;Arles
2025-06-02T22:00;20.1;79;0.0;5.5;Arles
2025-06-02T23:00;18.9;84;0.0;3.9;Arles
2025-06-03T00:00;18.1;87;0.0;2.9;Arles
2025-06-03T01:00;17.5;90;0.0;6.0;Arles
2025-06-03T02:00;17.1;91;0.0;4.0;Arles
2025-06-03T03:00;16.6;93;0.0;3.7;Arles
2025-06-03T04:00;16.3;97;0.0;5.1;Arles
2025-06-03T05:00;16.4;97;0.0;6.2;Arles
2025-06-03T06:00;16.6;98;0.0;6.6;Arles
2025-06-03T07:00;17.1;98;0.0;6.9;Arles
2025-06-03T08:00;18.5;93;0.0;5.4;Arles
2025-06-03T09:00;20.5;85;0.0;4.8;Arles
2025-06-03T10:00;22.9;75;0.0;4.7;Arles
2025-06-03T11:00;24.7;71;0.0;7.6;Arles
2025-06-03T12:00;26.0;64;0.0;10.9;Arles
2025-06-03T13:00;26.6;56;0.0;13.4;Arles
2025-06-03T14:00;27.2;48;0.0;14.8;Arles
2025-06-03T15:00;27.6;46;0.0;16.8;Arles
2025-06-03T16:00;27.3;49;0.0;19.1;Arles
2025-06-03T17:00;27.3;50;0.0;20.6;Arles
2025-06-03T18:00;26.8;47;0.0;21.6;Arles
2025-06-03T19:00;26.1;47;0.0;21.7;Arles
2025-06-03T20:00;24.6;53;0.0;18.0;Arles
2025-06-03T21:00;23.0;59;0.0;15.5;Arles
2025-06-03T22:00;21.5;69;0.0;12.2;Arles
2025-06-03T23:00;19.9;83;0.0;5.9;Arles
2025-06-04T00:00;19.2;89;0.0;4.2;Arles
2025-06-04T01:00;18.2;92;0.0;3.9;Arles
2025-06-04T02:00;18.0;93;0.0;5.5;Arles
2025-06-04T03:00;18.2;90;0.0;6.3;Arles
2025-06-04T04:00;18.3;87;0.0;2.3;Arles
2025-06-04T05:00;18.0;88;0.0;2.6;Arles
2025-06-04T06:00;17.9;88;0.0;3.4;Arles
2025-06-04T07:00;18.8;77;0.0;7.6;Arles
2025-06-04T08:00;20.0;77;0.0;9.8;Arles
2025-06-04T09:00;21.3;85;0.0;14.7;Arles
2025-06-04T10:00;21.7;85;0.0;21.2;Arles
2025-06-04T11:00;22.7;78;0.0;25.6;Arles
2025-06-04T12:00;22.7;74;0.0;23.9;Arles
2025-06-04T13:00;22.3;75;0.0;22.2;Arles
2025-06-04T14:00;23.5;68;0.0;22.6;Arles
2025-06-04T15:00;23.7;65;0.0;20.4;Arles
2025-06-04T16:00;24.2;61;0.0;20.3;Arles
2025-06-04T17:00;23.9;62;0.0;18.9;Arles
2025-06-04T18:00;23.5;63;0.0;17.7;Arles
2025-06-04T19:00;22.8;68;0.0;17.3;Arles
2025-06-04T20:00;22.5;67;0.0;14.2;Arles
2025-06-04T21:00;21.4;72;0.0;12.6;Arles
2025-06-04T22:00;20.6;77;0.0;11.7;Arles
2025-06-04T23:00;20.1;78;0.0;10.7;Arles
2025-06-05T00:00;19.5;81;0.0;7.8;Arles
2025-06-05T01:00;19.2;84;0.0;6.8;Arles
2025-06-05T02:00;19.1;87;0.0;5.7;Arles
2025-06-05T03:00;18.7;90;0.0;7.7;Arles
2025-06-05T04:00;18.0;93;0.0;6.6;Arles
2025-06-05T05:00;18.1;96;0.0;7.1;Arles
2025-06-05T06:00;17.6;96;0.0;7.6;Arles
