time;temperature_2m;relative_humidity_2m;precipitation;windspeed_10m;ville
2025-06-01T00:00;18.3;87;0.0;3.8;Digne-les-Bains
2025-06-01T01:00;18.0;87;0.0;2.3;Digne-les-Bains
2025-06-01T02:00;16.8;91;0.0;3.0;Digne-les-Bains
2025-06-01T03:00;16.2;93;0.0;1.8;Digne-les-Bains
2025-06-01T04:00;16.0;89;0.0;1.8;Digne-les-Bains
2025-06-01T05:00;15.0;90;0.0;3.0;Digne-les-Bains
2025-06-01T06:00;14.9;89;0.0;3.2;Digne-les-Bains
2025-06-01T07:00;15.0;91;0.0;2.5;Digne-les-Bains
2025-06-01T08:00;17.4;85;0.0;0.5;Digne-les-Bains
2025-06-01T09:00;20.3;74;0.0;1.1;Digne-les-Bains
2025-06-01T10:00;23.0;67;0.0;3.9;Digne-les-Bains
2025-06-01T11:00;25.1;53;0.0;7.8;Digne-les-Bains
2025-06-01T12:00;26.2;52;0.0;8.9;Digne-les-Bains
2025-06-01T13:00;27.6;44;0.0;11.8;Digne-les-Bains
2025-06-01T14:00;28.3;37;0.0;12.5;Digne-les-Bains
2025-06-01T15:00;28.6;38;0.0;15.1;Digne-les-Bains
2025-06-01T16:00;29.0;38;0.0;16.1;Digne-les-Bains
2025-06-01T17:00;27.0;37;0.0;17.9;Digne-les-Bains
2025-06-01T18:00;25.8;43;0.1;15.6;Digne-les-Bains
2025-06-01T19:00;25.9;42;0.0;1.8;Digne-les-Bains
2025-06-01T20:00;25.1;39;0.0;5.4;Digne-les-Bains
2025-06-01T21:00;22.9;53;0.0;5.3;Digne-les-Bains
2025-06-01T22:00;20.7;73;0.0;1.4;Digne-les-Bains
2025-06-01T23:00;19.0;84;0.0;4.0;Digne-les-Bains
2025-06-02T00:00;18.1;90;0.0;2.4;Digne-les-Bains
2025-06-02T01:00;17.2;92;0.0;6.6;Digne-les-Bains
2025-06-02T02:00;16.7;97;0.0;2.1;Digne-les-Bains
2025-06-02T03:00;17.0;92;0.0;4.1;Digne-les-Bains
2025-06-02T04:00;17.0;92;0.0;1.6;Digne-les-Bains
2025-06-02T05:00;17.7;94;0.0;3.8;Digne-les-Bains
2025-06-02T06:00;17.0;94;0.0;3.0;Digne-les-Bains
2025-06-02T07:00;17.5;91;0.0;3.4;Digne-les-Bains
2025-06-02T08:00;19.0;87;0.0;1.0;Digne-les-Bains
2025-06-02T09:00;20.1;85;0.0;9.1;Digne-les-Bains
2025-06-02T10:00;20.1;84;0.0;8.4;Digne-les-Bains
2025-06-02T11:00;20.8;78;0.3;3.6;Digne-les-Bains
2025-06-02T12:00;22.2;70;0.0;4.6;Digne-les-Bains
2025-06-02T13:00;24.2;58;0.0;2.9;Digne-les-Bains
2025-06-02T14:00;24.6;52;0.0;10.8;Digne-les-Bains
2025-06-02T15:00;22.8;56;0.0;9.1;Digne-les-Bains
2025-06-02T16:00;24.1;54;0.0;11.7;Digne-les-Bains
2025-06-02T17:00;25.4;42;0.0;15.0;Digne-les-Bains
2025-06-02T18:00;23.8;46;0.0;19.7;Digne-les-Bains
2025-06-02T19:00;23.0;50;0.0;11.5;Digne-les-Bains
2025-06-02T20:00;21.1;55;0.0;5.4;Digne-les-Bains
2025-06-02T21:00;19.5;64;0.0;3.8;Digne-les-Bains
2025-06-02T22:00;17.5;76;0.0;2.6;Digne-les-Bains
2025-06-02T23:00;16.4;80;0.0;2.8;Digne-les-Bains
2025-06-03T00:00;16.4;81;0.0;1.6;Digne-les-Bains
2025-06-03T01:00;15.4;84;0.0;3.3;Digne-les-Bains
2025-06-03T02:00;14.8;87;0.0;2.4;Digne-les-Bains
2025-06-03T03:00;14.0;89;0.0;3.0;Digne-les-Bains
2025-06-03T04:00;13.7;89;0.0;4.1;Digne-les-Bains
2025-06-03T05:00;14.0;89;0.0;3.3;Digne-les-Bains
2025-06-03T06:00;13.6;89;0.0;3.8;Digne-les-Bains
2025-06-03T07:00;14.3;84;0.0;3.9;Digne-les-Bains
2025-06-03T08:00;15.5;82;0.0;2.9;Digne-les-Bains
2025-06-03T09:00;17.0;83;0.0;2.9;Digne-les-Bains
2025-06-03T10:00;19.6;65;0.0;2.9;Digne-les-Bains
2025-06-03T11:00;21.8;58;0.0;4.0;Digne-les-Bains
2025-06-03T12:00;23.5;59;0.0;3.7;Digne-les-Bains
2025-06-03T13:00;25.1;51;0.0;4.4;Digne-les-Bains
2025-06-03T14:00;25.0;53;0.0;9.2;Digne-les-Bains
2025-06-03T15:00;26.9;40;0.0;9.2;Digne-les-Bains
2025-06-03T16:00;26.9;35;0.0;14.5;Digne-les-Bains
2025-06-03T17:00;26.5;40;0.0;15.5;Digne-les-Bains
2025-06-03T18:00;26.0;42;0.0;12.9;Digne-les-Bains
2025-06-03T19:00;25.6;43;0.0;6.9;Digne-les-Bains
2025-06-03T20:00;23.9;46;0.0;3.8;Digne-les-Bains
2025-06-03T21:00;20.9;56;0.0;3.1;Digne-les-Bains
2025-06-03T22:00;18.7;59;0.0;2.6;Digne-les-Bains
2025-06-03T23:00;15.0;81;0.0;3.6;Digne-les-Bains
2025-06-04T00:00;13.5;89;0.0;2.8;Digne-les-Bains
2025-06-04T01:00;12.4;96;0.0;4.0;Digne-les-Bains
2025-06-04T02:00;12.8;91;0.0;3.7;Digne-les-Bains
2025-06-04T03:00;12.4;96;0.0;3.6;Digne-les-Bains
