time;temperature_2m;relative_humidity_2m;precipitation;windspeed_10m;ville
2025-06-01T00:00;18.5;63;0.0;5.6;Gap
2025-06-01T01:00;17.1;70;0.0;4.7;Gap
2025-06-01T02:00;17.0;74;0.0;4.4;Gap
2025-06-01T03:00;16.7;75;0.0;5.4;Gap
2025-06-01T04:00;16.0;75;0.0;5.0;Gap
2025-06-01T05:00;15.5;76;0.0;5.1;Gap
2025-06-01T06:00;15.2;80;0.0;5.4;Gap
2025-06-01T07:00;16.0;79;0.0;3.0;Gap
2025-06-01T08:00;17.9;81;0.0;2.4;Gap
2025-06-01T09:00;19.6;74;0.0;2.7;Gap
2025-06-01T10:00;21.6;60;0.0;1.4;Gap
2025-06-01T11:00;23.4;52;0.0;4.9;Gap
2025-06-01T12:00;25.1;47;0.0;6.1;Gap
2025-06-01T13:00;26.1;48;0.0;9.6;Gap
2025-06-01T14:00;26.8;47;0.0;11.9;Gap
2025-06-01T15:00;27.2;41;0.0;15.3;Gap
2025-06-01T16:00;22.5;58;0.6;11.1;Gap
2025-06-01T17:00;22.9;48;3.8;20.6;Gap
2025-06-01T18:00;23.2;48;0.0;6.8;Gap
2025-06-01T19:00;22.7;44;0.0;5.5;Gap
2025-06-01T20:00;22.0;53;0.0;3.4;Gap
2025-06-01T21:00;20.9;56;0.0;5.2;Gap
2025-06-01T22:00;19.4;61;0.0;4.7;Gap
2025-06-01T23:00;18.0;58;0.0;5.0;Gap
2025-06-02T00:00;18.9;53;0.0;7.3;Gap
2025-06-02T01:00;16.8;70;0.1;8.4;Gap
2025-06-02T02:00;17.8;69;0.0;6.8;Gap
2025-06-02T03:00;16.9;71;0.0;4.3;Gap
2025-06-02T04:00;16.4;73;0.0;1.3;Gap
2025-06-02T05:00;14.8;90;0.0;7.1;Gap
2025-06-02T06:00;16.4;78;0.0;2.4;Gap
2025-06-02T07:00;16.5;79;0.3;7.9;Gap
2025-06-02T08:00;18.4;76;0.0;2.4;Gap
2025-06-02T09:00;18.5;79;0.0;4.7;Gap
2025-06-02T10:00;18.5;81;0.0;7.6;Gap
2025-06-02T11:00;18.2;86;0.0;7.2;Gap
2025-06-02T12:00;18.9;80;0.0;7.1;Gap
2025-06-02T13:00;20.6;72;0.0;4.3;Gap
2025-06-02T14:00;21.8;64;0.0;8.4;Gap
2025-06-02T15:00;21.4;67;0.0;8.4;Gap
2025-06-02T16:00;20.8;66;0.2;6.9;Gap
2025-06-02T17:00;22.2;44;0.0;12.7;Gap
2025-06-02T18:00;21.4;52;0.0;4.7;Gap
2025-06-02T19:00;18.7;70;0.0;5.4;Gap
2025-06-02T20:00;17.5;74;0.0;5.2;Gap
