time;temperature_2m;relative_humidity_2m;precipitation;windspeed_10m;ville
2025-06-01T00:00;17.6;96;0.0;4.7;Marseille
2025-06-01T01:00;17.6;96;0.0;2.6;Marseille
2025-06-01T02:00;17.2;97;0.0;4.0;Marseille
2025-06-01T03:00;17.3;97;0.0;3.7;Marseille
2025-06-01T04:00;17.6;97;0.0;1.9;Marseille
2025-06-01T05:00;18.2;92;0.0;6.0;Marseille
2025-06-01T06:00;17.6;96;0.0;2.3;Marseille
2025-06-01T07:00;18.1;94;0.0;0.8;Marseille
2025-06-01T08:00;19.4;85;0.0;1.3;Marseille
2025-06-01T09:00;19.2;89;0.0;6.5;Marseille
2025-06-01T10:00;18.8;89;0.0;4.5;Marseille
2025-06-01T11:00;19.5;85;0.0;6.2;Marseille
2025-06-01T12:00;20.2;82;0.0;7.5;Marseille
2025-06-01T13:00;20.1;83;0.0;7.6;Marseille
2025-06-01T14:00;20.8;81;0.0;9.3;Marseille
2025-06-01T15:00;21.9;75;0.0;9.6;Marseille
2025-06-01T16:00;21.9;74;0.0;11.4;Marseille
2025-06-01T17:00;27.4;40;0.0;10.8;Marseille
2025-06-01T18:00;26.4;45;0.0;11.2;Marseille
2025-06-01T19:00;24.4;57;0.0;7.2;Marseille
2025-06-01T20:00;23.4;62;0.0;6.0;Marseille
2025-06-01T21:00;23.6;57;0.0;10.0;Marseille
2025-06-01T22:00;22.4;65;0.0;8.1;Marseille
2025-06-01T23:00;20.6;76;0.0;0.8;Marseille
2025-06-02T00:00;21.4;72;0.0;3.5;Marseille
2025-06-02T01:00;19.5;87;0.0;4.3;Marseille
2025-06-02T02:00;20.4;78;0.0;7.8;Marseille
2025-06-02T03:00;19.7;86;0.0;5.5;Marseille
2025-06-02T04:00;20.5;75;0.0;6.3;Marseille
2025-06-02T05:00;20.9;72;0.0;6.9;Marseille
2025-06-02T06:00;21.8;61;0.0;7.5;Marseille
2025-06-02T07:00;19.4;91;0.0;12.5;Marseille
2025-06-02T08:00;19.4;88;0.1;8.4;Marseille
2025-06-02T09:00;21.5;72;0.0;1.5;Marseille
2025-06-02T10:00;23.0;64;0.0;7.6;Marseille
2025-06-02T11:00;22.0;74;0.0;14.1;Marseille
2025-06-02T12:00;22.3;75;0.0;12.1;Marseille
2025-06-02T13:00;23.9;58;0.0;9.1;Marseille
2025-06-02T14:00;24.1;60;0.0;7.2;Marseille
2025-06-02T15:00;21.9;78;0.0;6.5;Marseille
2025-06-02T16:00;21.9;77;0.0;9.8;Marseille
2025-06-02T17:00;21.9;77;0.0;5.2;Marseille
2025-06-02T18:00;22.4;74;0.0;8.3;Marseille
2025-06-02T19:00;22.6;72;0.0;3.1;Marseille
2025-06-02T20:00;24.5;64;0.0;3.1;Marseille
2025-06-02T21:00;23.4;69;0.0;4.0;Marseille
2025-06-02T22:00;22.9;72;0.0;2.6;Marseille
2025-06-02T23:00;22.5;72;0.0;1.9;Marseille
2025-06-03T00:00;23.7;64;0.0;3.3;Marseille
2025-06-03T01:00;23.4;61;0.0;5.5;Marseille
2025-06-03T02:00;23.1;52;0.0;5.4;Marseille
2025-06-03T03:00;22.4;67;0.0;6.7;Marseille
2025-06-03T04:00;21.7;68;0.0;8.7;Marseille
2025-06-03T05:00;21.9;63;0.0;11.3;Marseille
2025-06-03T06:00;21.7;71;0.0;2.9;Marseille
2025-06-03T07:00;21.5;72;0.0;1.1;Marseille
2025-06-03T08:00;22.4;67;0.0;2.5;Marseille
2025-06-03T09:00;24.1;60;0.0;6.1;Marseille
2025-06-03T10:00;23.5;68;0.0;5.9;Marseille
2025-06-03T11:00;24.3;66;0.0;8.7;Marseille
2025-06-03T12:00;27.0;53;0.0;11.0;Marseille
2025-06-03T13:00;27.5;48;0.0;12.8;Marseille
2025-06-03T14:00;29.2;39;0.0;11.2;Marseille
2025-06-03T15:00;28.2;48;0.0;17.0;Marseille
2025-06-03T16:00;28.7;36;0.0;17.4;Marseille
2025-06-03T17:00;28.7;30;0.0;17.7;Marseille
2025-06-03T18:00;28.0;37;0.0;13.5;Marseille
2025-06-03T19:00;28.2;34;0.0;15.0;Marseille
2025-06-03T20:00;28.2;33;0.0;12.5;Marseille
2025-06-03T21:00;27.7;33;0.0;10.2;Marseille
