time;temperature_2m;relative_humidity_2m;precipitation;windspeed_10m;ville
2025-06-01T00:00;18.4;95;0.0;2.6;Toulon
2025-06-01T01:00;18.3;94;0.0;3.2;Toulon
2025-06-01T02:00;18.1;94;0.0;2.8;Toulon
2025-06-01T03:00;18.1;96;0.0;1.3;Toulon
2025-06-01T04:00;18.4;95;0.0;0.7;Toulon
2025-06-01T05:00;18.2;96;0.0;4.3;Toulon
2025-06-01T06:00;18.2;94;0.0;3.1;Toulon
2025-06-01T07:00;18.1;82;0.0;0.4;Toulon
2025-06-01T08:00;20.2;65;0.0;2.2;Toulon
2025-06-01T09:00;21.9;50;0.0;6.9;Toulon
2025-06-01T10:00;23.0;63;0.0;8.0;Toulon
2025-06-01T11:00;22.8;72;0.0;11.6;Toulon
2025-06-01T12:00;22.9;73;0.0;12.7;Toulon
2025-06-01T13:00;23.1;71;0.0;10.9;Toulon
2025-06-01T14:00;23.3;69;0.0;11.9;Toulon
2025-06-01T15:00;23.4;68;0.0;8.7;Toulon
2025-06-01T16:00;25.0;57;0.0;8.0;Toulon
2025-06-01T17:00;23.4;68;0.0;6.5;Toulon
2025-06-01T18:00;22.7;71;0.0;9.8;Toulon
2025-06-01T19:00;22.1;73;0.0;7.6;Toulon
2025-06-01T20:00;21.5;75;0.0;6.7;Toulon
2025-06-01T21:00;20.2;85;0.0;10.2;Toulon
2025-06-01T22:00;19.2;92;0.0;9.7;Toulon
2025-06-01T23:00;19.0;93;0.0;6.3;Toulon
2025-06-02T00:00;19.6;90;0.0;3.8;Toulon
2025-06-02T01:00;19.8;86;0.0;3.6;Toulon
2025-06-02T02:00;19.5;90;0.0;4.8;Toulon
2025-06-02T03:00;19.8;90;0.0;2.9;Toulon
2025-06-02T04:00;20.1;80;0.0;1.8;Toulon
2025-06-02T05:00;19.6;87;0.0;9.2;Toulon
2025-06-02T06:00;19.0;86;0.0;11.7;Toulon
2025-06-02T07:00;19.5;79;0.0;5.4;Toulon
2025-06-02T08:00;20.6;75;0.0;0.8;Toulon
2025-06-02T09:00;22.4;61;0.0;4.8;Toulon
2025-06-02T10:00;23.5;61;0.0;9.0;Toulon
2025-06-02T11:00;24.1;67;0.0;7.0;Toulon
2025-06-02T12:00;25.4;59;0.0;6.1;Toulon
2025-06-02T13:00;23.9;67;0.0;9.0;Toulon
2025-06-02T14:00;26.1;55;0.0;11.8;Toulon
2025-06-02T15:00;27.1;46;0.0;11.9;Toulon
2025-06-02T16:00;26.7;50;0.0;13.3;Toulon
2025-06-02T17:00;26.2;59;0.0;14.8;Toulon
2025-06-02T18:00;25.2;64;0.0;12.5;Toulon
2025-06-02T19:00;25.3;62;0.0;11.8;Toulon
2025-06-02T20:00;24.5;64;0.0;7.1;Toulon
2025-06-02T21:00;24.6;65;0.0;1.5;Toulon
2025-06-02T22:00;24.2;66;0.0;2.9;Toulon
2025-06-02T23:00;23.1;74;0.0;7.6;Toulon
2025-06-03T00:00;22.5;81;0.0;4.8;Toulon
2025-06-03T01:00;22.1;80;0.0;6.1;Toulon
2025-06-03T02:00;21.5;84;0.0;5.2;Toulon
2025-06-03T03:00;21.0;86;0.0;4.0;Toulon
2025-06-03T04:00;20.8;82;0.0;5.1;Toulon
2025-06-03T05:00;20.6;79;0.0;6.9;Toulon
2025-06-03T06:00;20.6;79;0.0;9.0;Toulon
2025-06-03T07:00;20.6;80;0.0;9.7;Toulon
2025-06-03T08:00;22.1;74;0.0;7.6;Toulon
2025-06-03T09:00;23.7;66;0.0;9.0;Toulon
2025-06-03T10:00;25.5;57;0.0;10.1;Toulon
2025-06-03T11:00;27.0;52;0.0;10.6;Toulon
2025-06-03T12:00;25.9;67;0.0;17.2;Toulon
2025-06-03T13:00;27.2;58;0.0;15.7;Toulon
2025-06-03T14:00;26.3;63;0.0;17.6;Toulon
2025-06-03T15:00;27.1;57;0.0;17.1;Toulon
2025-06-03T16:00;27.3;54;0.0;17.4;Toulon
2025-06-03T17:00;27.0;55;0.0;17.2;Toulon
2025-06-03T18:00;26.8;55;0.0;14.1;Toulon
2025-06-03T19:00;26.9;54;0.0;15.1;Toulon
2025-06-03T20:00;26.7;48;0.0;16.3;Toulon
2025-06-03T21:00;25.3;53;0.0;14.1;Toulon
2025-06-03T22:00;23.6;63;0.0;11.6;Toulon
2025-06-03T23:00;23.3;64;0.0;19.0;Toulon
2025-06-04T00:00;22.7;68;0.0;19.9;Toulon
2025-06-04T01:00;22.4;70;0.0;14.1;Toulon
2025-06-04T02:00;22.3;70;0.0;16.8;Toulon
2025-06-04T03:00;21.8;78;0.0;18.4;Toulon
2025-06-04T04:00;21.8;81;0.0;22.9;Toulon
2025-06-04T05:00;21.9;82;0.0;17.2;Toulon
2025-06-04T06:00;21.8;83;0.6;19.5;Toulon
2025-06-04T07:00;21.6;85;0.0;18.8;Toulon
2025-06-04T08:00;21.8;84;0.1;17.7;Toulon
2025-06-04T09:00;21.6;89;0.0;20.3;Toulon
2025-06-04T10:00;21.7;90;0.9;20.1;Toulon
2025-06-04T11:00;22.1;88;0.0;17.3;Toulon
2025-06-04T12:00;22.4;86;0.0;15.5;Toulon
2025-06-04T13:00;22.7;84;0.0;14.4;Toulon
2025-06-04T14:00;23.3;75;0.0;18.1;Toulon
2025-06-04T15:00;22.3;84;0.0;16.1;Toulon
2025-06-04T16:00;23.1;79;0.4;13.9;Toulon
2025-06-04T17:00;22.5;83;0.0;7.2;Toulon
2025-06-04T18:00;22.2;85;1.3;7.6;Toulon
2025-06-04T19:00;22.7;82;0.0;6.6;Toulon
2025-06-04T20:00;21.8;86;0.0;7.0;Toulon
2025-06-04T21:00;21.1;90;0.0;6.8;Toulon
2025-06-04T22:00;21.0;88;0.0;3.6;Toulon
2025-06-04T23:00;20.8;89;0.0;4.7;Toulon
2025-06-05T00:00;20.2;91;0.0;2.4;Toulon
2025-06-05T01:00;20.0;92;0.0;2.6;Toulon
2025-06-05T02:00;19.8;90;0.0;1.6;Toulon
2025-06-05T03:00;19.0;88;0.0;2.6;Toulon
2025-06-05T04:00;18.9;87;0.0;2.5;Toulon
2025-06-05T05:00;18.8;86;0.0;1.9;Toulon
2025-06-05T06:00;18.9;89;0.0;5.2;Toulon
2025-06-05T07:00;19.9;76;0.0;2.2;Toulon
2025-06-05T08:00;21.0;74;0.0;1.6;Toulon
2025-06-05T09:00;21.9;75;0.0;2.9;Toulon
2025-06-05T10:00;22.8;70;0.0;7.8;Toulon
2025-06-05T11:00;23.6;67;0.0;7.8;Toulon
2025-06-05T12:00;24.3;66;0.0;12.2;Toulon
2025-06-05T13:00;23.8;70;0.0;13.7;Toulon
2025-06-05T14:00;23.8;69;0.0;15.5;Toulon
2025-06-05T15:00;24.3;67;0.0;12.8;Toulon
2025-06-05T16:00;25.1;60;0.0;13.0;Toulon
2025-06-05T17:00;25.3;54;0.0;16.0;Toulon
2025-06-05T18:00;23.7;66;0.0;15.3;Toulon
2025-06-05T19:00;23.5;68;0.0;13.9;Toulon
2025-06-05T20:00;22.8;72;0.0;12.5;Toulon
2025-06-05T21:00;21.8;76;0.0;13.3;Toulon
2025-06-05T22:00;21.2;80;0.0;13.1;Toulon
2025-06-05T23:00;20.9;80;0.0;10.5;Toulon
