date;heure;ville;trafic
2025-08-04;06:00;Marseille;36.6
2025-08-04;06:00;Nice;32.6
2025-08-04;06:00;Toulon;36.6
2025-08-04;06:00;Avignon;24.6
2025-08-04;06:00;Aix-en-Provence;29.6
2025-08-04;06:00;Arles;11.2
2025-08-04;06:00;Gap;13.3
2025-08-04;06:00;Digne-les-Bains;9.0
2025-08-04;07:00;Marseille;82.6
2025-08-04;07:00;Nice;76.2
2025-08-04;07:00;Toulon;60.1
2025-08-04;07:00;Avignon;58.3
2025-08-04;07:00;Aix-en-Provence;52.1
2025-08-04;07:00;Arles;42.5
2025-08-04;07:00;Gap;28.6
2025-08-04;07:00;Digne-les-Bains;17.6
2025-08-04;08:00;Marseille;70.9
2025-08-04;08:00;Nice;63.9
2025-08-04;08:00;Toulon;65.2
2025-08-04;08:00;Avignon;49.6
2025-08-04;08:00;Aix-en-Provence;52.9
2025-08-04;08:00;Arles;36.1
2025-08-04;08:00;Gap;26.2
2025-08-04;08:00;Digne-les-Bains;24.2
2025-08-04;09:00;Marseille;74.8
2025-08-04;09:00;Nice;74.4
2025-08-04;09:00;Toulon;61.2
2025-08-04;09:00;Avignon;54.8
2025-08-04;09:00;Aix-en-Provence;43.0
2025-08-04;09:00;Arles;39.1
2025-08-04;09:00;Gap;27.2
2025-08-04;09:00;Digne-les-Bains;29.2
2025-08-04;10:00;Marseille;39.6
2025-08-04;10:00;Nice;30.4
2025-08-04;10:00;Toulon;28.2
2025-08-04;10:00;Avignon;18.1
2025-08-04;10:00;Aix-en-Provence;25.9
2025-08-04;10:00;Arles;10.7
2025-08-04;10:00;Gap;14.6
2025-08-04;10:00;Digne-les-Bains;14.7
2025-08-04;11:00;Marseille;34.6
2025-08-04;11:00;Nice;28.3
2025-08-04;11:00;Toulon;25.3
2025-08-04;11:00;Avignon;26.2
2025-08-04;11:00;Aix-en-Provence;19.2
2025-08-04;11:00;Arles;17.1
2025-08-04;11:00;Gap;10.2
2025-08-04;11:00;Digne-les-Bains;19.4
2025-08-04;12:00;Marseille;42.9
2025-08-04;12:00;Nice;42.6
2025-08-04;12:00;Toulon;32.8
2025-08-04;12:00;Avignon;27.3
2025-08-04;12:00;Aix-en-Provence;28.4
2025-08-04;12:00;Arles;23.0
2025-08-04;12:00;Gap;19.1
2025-08-04;12:00;Digne-les-Bains;16.4
2025-08-04;13:00;Marseille;48.9
2025-08-04;13:00;Nice;35.0
2025-08-04;13:00;Toulon;37.5
2025-08-04;13:00;Avignon;26.3
2025-08-04;13:00;Aix-en-Provence;32.0
2025-08-04;13:00;Arles;15.3
2025-08-04;13:00;Gap;17.8
2025-08-04;13:00;Digne-les-Bains;10.3
2025-08-04;14:00;Marseille;48.1
2025-08-04;14:00;Nice;49.2
2025-08-04;14:00;Toulon;32.1
2025-08-04;14:00;Avignon;30.3
2025-08-04;14:00;Aix-en-Provence;33.8
2025-08-04;14:00;Arles;15.6
2025-08-04;14:00;Gap;29.5
2025-08-04;14:00;Digne-les-Bains;13.6
2025-08-04;15:00;Marseille;44.6
2025-08-04;15:00;Nice;30.0
2025-08-04;15:00;Toulon;27.2
2025-08-04;15:00;Avignon;30.2
2025-08-04;15:00;Aix-en-Provence;21.1
2025-08-04;15:00;Arles;21.4
2025-08-04;15:00;Gap;10.7
2025-08-04;15:00;Digne-les-Bains;9.2
2025-08-04;16:00;Marseille;30.1
2025-08-04;16:00;Nice;34.2
2025-08-04;16:00;Toulon;29.5
2025-08-04;16:00;Avignon;29.1
2025-08-04;16:00;Aix-en-Provence;30.0
2025-08-04;16:00;Arles;19.8
2025-08-04;16:00;Gap;11.2
2025-08-04;16:00;Digne-les-Bains;1.4
2025-08-04;17:00;Marseille;74.0
2025-08-04;17:00;Nice;78.8
2025-08-04;17:00;Toulon;62.1
2025-08-04;17:00;Avignon;52.4
2025-08-04;17:00;Aix-en-Provence;61.5
2025-08-04;17:00;Arles;41.1
2025-08-04;17:00;Gap;31.5
2025-08-04;17:00;Digne-les-Bains;25.1
2025-08-04;18:00;Marseille;79.5
2025-08-04;18:00;Nice;71.2
2025-08-04;18:00;Toulon;55.6
2025-08-04;18:00;Avignon;48.8
2025-08-04;18:00;Aix-en-Provence;61.4
2025-08-04;18:00;Arles;38.2
2025-08-04;18:00;Gap;25.3
2025-08-04;18:00;Digne-les-Bains;22.9
2025-08-04;19:00;Marseille;84.3
2025-08-04;19:00;Nice;72.2
2025-08-04;19:00;Toulon;59.2
2025-08-04;19:00;Avignon;49.6
2025-08-04;19:00;Aix-en-Provence;59.8
2025-08-04;19:00;Arles;40.5
2025-08-04;19:00;Gap;27.5
2025-08-04;19:00;Digne-les-Bains;20.4
2025-08-04;20:00;Marseille;29.5
2025-08-04;20:00;Nice;34.8
2025-08-04;20:00;Toulon;25.8
2025-08-04;20:00;Avignon;22.1
2025-08-04;20:00;Aix-en-Provence;10.7
2025-08-04;20:00;Arles;16.2
2025-08-04;20:00;Gap;6.0
2025-08-04;20:00;Digne-les-Bains;10.5
2025-08-04;21:00;Marseille;23.1
2025-08-04;21:00;Nice;24.5
2025-08-04;21:00;Toulon;25.1
2025-08-04;21:00;Avignon;20.5
2025-08-04;21:00;Aix-en-Provence;21.2
2025-08-04;21:00;Arles;18.2
2025-08-04;21:00;Gap;3.0
2025-08-04;21:00;Digne-les-Bains;9.7
2025-08-04;22:00;Marseille;48.4
2025-08-04;22:00;Nice;45.2
2025-08-04;22:00;Toulon;34.3
2025-08-04;22:00;Avignon;26.5
2025-08-04;22:00;Aix-en-Provence;26.7
2025-08-04;22:00;Arles;23.6
2025-08-04;22:00;Gap;16.5
2025-08-04;22:00;Digne-les-Bains;3.8
2025-08-05;06:00;Marseille;39.5
2025-08-05;06:00;Nice;31.4
2025-08-05;06:00;Toulon;28.5
2025-08-05;06:00;Avignon;22.3
2025-08-05;06:00;Aix-en-Provence;20.1
2025-08-05;06:00;Arles;16.6
2025-08-05;06:00;Gap;9.7
2025-08-05;06:00;Digne-les-Bains;3.7
2025-08-05;07:00;Marseille;80.4
2025-08-05;07:00;Nice;67.3
2025-08-05;07:00;Toulon;74.3
2025-08-05;07:00;Avignon;50.7
2025-08-05;07:00;Aix-en-Provence;52.1
2025-08-05;07:00;Arles;44.8
2025-08-05;07:00;Gap;29.7
2025-08-05;07:00;Digne-les-Bains;16.1
