date;heure;ville;trafic
2025-08-04;06:00;Marseille;1940
2025-08-04;06:00;Nice;1073
2025-08-04;06:00;Toulon;791
2025-08-04;06:00;Aix-en-Provence;837
2025-08-04;06:00;Avignon;427
2025-08-04;06:00;Arles;311
2025-08-04;06:00;Gap;332
2025-08-04;06:00;Digne-les-Bains;167
2025-08-04;07:00;Marseille;8547
2025-08-04;07:00;Nice;6313
2025-08-04;07:00;Toulon;5305
2025-08-04;07:00;Aix-en-Provence;3670
2025-08-04;07:00;Avignon;2504
2025-08-04;07:00;Arles;2003
2025-08-04;07:00;Gap;1767
2025-08-04;07:00;Digne-les-Bains;1011
2025-08-04;08:00;Marseille;7443
2025-08-04;08:00;Nice;7751
2025-08-04;08:00;Toulon;5957
2025-08-04;08:00;Aix-en-Provence;4198
2025-08-04;08:00;Avignon;2981
2025-08-04;08:00;Arles;2451
2025-08-04;08:00;Gap;1655
2025-08-04;08:00;Digne-les-Bains;1131
2025-08-04;09:00;Marseille;7445
2025-08-04;09:00;Nice;7599
2025-08-04;09:00;Toulon;4310
2025-08-04;09:00;Aix-en-Provence;3951
2025-08-04;09:00;Avignon;2612
2025-08-04;09:00;Arles;1813
2025-08-04;09:00;Gap;1736
2025-08-04;09:00;Digne-les-Bains;1168
2025-08-04;10:00;Marseille;4981
2025-08-04;10:00;Nice;3788
2025-08-04;10:00;Toulon;2071
2025-08-04;10:00;Aix-en-Provence;2662
2025-08-04;10:00;Avignon;1869
2025-08-04;10:00;Arles;763
2025-08-04;10:00;Gap;1031
2025-08-04;10:00;Digne-les-Bains;685
2025-08-04;11:00;Marseille;3986
2025-08-04;11:00;Nice;3094
2025-08-04;11:00;Toulon;1803
2025-08-04;11:00;Aix-en-Provence;1590
2025-08-04;11:00;Avignon;1571
2025-08-04;11:00;Arles;1223
2025-08-04;11:00;Gap;583
2025-08-04;11:00;Digne-les-Bains;573
2025-08-04;12:00;Marseille;3922
2025-08-04;12:00;Nice;2787
2025-08-04;12:00;Toulon;2121
2025-08-04;12:00;Aix-en-Provence;2307
2025-08-04;12:00;Avignon;2061
2025-08-04;12:00;Arles;937
2025-08-04;12:00;Gap;683
2025-08-04;12:00;Digne-les-Bains;610
2025-08-04;13:00;Marseille;5444
2025-08-04;13:00;Nice;3573
2025-08-04;13:00;Toulon;2110
2025-08-04;13:00;Aix-en-Provence;1916
2025-08-04;13:00;Avignon;1224
2025-08-04;13:00;Arles;1315
2025-08-04;13:00;Gap;644
2025-08-04;13:00;Digne-les-Bains;435
2025-08-04;14:00;Marseille;5657
2025-08-04;14:00;Nice;4478
2025-08-04;14:00;Toulon;1869
2025-08-04;14:00;Aix-en-Provence;1451
2025-08-04;14:00;Avignon;1121
2025-08-04;14:00;Arles;805
2025-08-04;14:00;Gap;710
2025-08-04;14:00;Digne-les-Bains;569
2025-08-04;15:00;Marseille;3034
2025-08-04;15:00;Nice;3665
2025-08-04;15:00;Toulon;3541
2025-08-04;15:00;Aix-en-Provence;1533
2025-08-04;15:00;Avignon;1492
2025-08-04;15:00;Arles;1269
2025-08-04;15:00;Gap;745
2025-08-04;15:00;Digne-les-Bains;518
2025-08-04;16:00;Marseille;3745
2025-08-04;16:00;Nice;3735
2025-08-04;16:00;Toulon;3434
2025-08-04;16:00;Aix-en-Provence;2631
2025-08-04;16:00;Avignon;2089
2025-08-04;16:00;Arles;1098
2025-08-04;16:00;Gap;1000
2025-08-04;16:00;Digne-les-Bains;388
2025-08-04;17:00;Marseille;7963
2025-08-04;17:00;Nice;6785
2025-08-04;17:00;Toulon;4596
2025-08-04;17:00;Aix-en-Provence;4032
2025-08-04;17:00;Avignon;2860
2025-08-04;17:00;Arles;1930
2025-08-04;17:00;Gap;1438
2025-08-04;17:00;Digne-les-Bains;1030
2025-08-04;18:00;Marseille;7153
2025-08-04;18:00;Nice;6143
2025-08-04;18:00;Toulon;4530
2025-08-04;18:00;Aix-en-Provence;3604
2025-08-04;18:00;Avignon;2670
2025-08-04;18:00;Arles;2138
2025-08-04;18:00;Gap;1524
2025-08-04;18:00;Digne-les-Bains;1133
2025-08-04;19:00;Marseille;7942
2025-08-04;19:00;Nice;7435
2025-08-04;19:00;Toulon;5754
2025-08-04;19:00;Aix-en-Provence;4161
2025-08-04;19:00;Avignon;3361
2025-08-04;19:00;Arles;1998
2025-08-04;19:00;Gap;1354
2025-08-04;19:00;Digne-les-Bains;1098
2025-08-04;20:00;Marseille;2472
2025-08-04;20:00;Nice;2114
2025-08-04;20:00;Toulon;1872
2025-08-04;20:00;Aix-en-Provence;1447
2025-08-04;20:00;Avignon;1394
2025-08-04;20:00;Arles;794
2025-08-04;20:00;Gap;495
2025-08-04;20:00;Digne-les-Bains;298
2025-08-04;21:00;Marseille;3660
2025-08-04;21:00;Nice;1677
2025-08-04;21:00;Toulon;2354
2025-08-04;21:00;Aix-en-Provence;1771
2025-08-04;21:00;Avignon;866
2025-08-04;21:00;Arles;991
2025-08-04;21:00;Gap;530
2025-08-04;21:00;Digne-les-Bains;361
2025-08-04;22:00;Marseille;3025
2025-08-04;22:00;Nice;1959
2025-08-04;22:00;Toulon;1329
2025-08-04;22:00;Aix-en-Provence;1269
2025-08-04;22:00;Avignon;1208
2025-08-04;22:00;Arles;858
2025-08-04;22:00;Gap;418
2025-08-04;22:00;Digne-les-Bains;290
2025-08-05;06:00;Marseille;1836
2025-08-05;06:00;Nice;1061
2025-08-05;06:00;Toulon;1034
2025-08-05;06:00;Aix-en-Provence;703
2025-08-05;06:00;Avignon;652
2025-08-05;06:00;Arles;261
2025-08-05;06:00;Gap;285
2025-08-05;06:00;Digne-les-Bains;153
2025-08-05;07:00;Marseille;9450
2025-08-05;07:00;Nice;6781
2025-08-05;07:00;Toulon;5634
2025-08-05;07:00;Aix-en-Provence;3154
2025-08-05;07:00;Avignon;2982
2025-08-05;07:00;Arles;2096
2025-08-05;07:00;Gap;1335
2025-08-05;07:00;Digne-les-Bains;897
2025-08-05;08:00;Marseille;9773
2025-08-05;08:00;Nice;6459
2025-08-05;08:00;Toulon;5943
2025-08-05;08:00;Aix-en-Provence;3986
2025-08-05;08:00;Avignon;3334
2025-08-05;08:00;Arles;2034
2025-08-05;08:00;Gap;1784
2025-08-05;08:00;Digne-les-Bains;939
2025-08-05;09:00;Marseille;9718
2025-08-05;09:00;Nice;6988
2025-08-05;09:00;Toulon;5242
2025-08-05;09:00;Aix-en-Provence;4308
2025-08-05;09:00;Avignon;2466
2025-08-05;09:00;Arles;1968
2025-08-05;09:00;Gap;1528
2025-08-05;09:00;Digne-les-Bains;859
2025-08-05;10:00;Marseille;3735
2025-08-05;10:00;Nice;4085
2025-08-05;10:00;Toulon;2641
2025-08-05;10:00;Aix-en-Provence;2132
2025-08-05;10:00;Avignon;1106
2025-08-05;10:00;Arles;1267
2025-08-05;10:00;Gap;657
2025-08-05;10:00;Digne-les-Bains;514
2025-08-05;11:00;Marseille;4172
2025-08-05;11:00;Nice;3982
2025-08-05;11:00;Toulon;2024
2025-08-05;11:00;Aix-en-Provence;1564
2025-08-05;11:00;Avignon;1069
2025-08-05;11:00;Arles;1458
2025-08-05;11:00;Gap;1040
2025-08-05;11:00;Digne-les-Bains;385
2025-08-05;12:00;Marseille;4700
2025-08-05;12:00;Nice;4378
2025-08-05;12:00;Toulon;1818
2025-08-05;12:00;Aix-en-Provence;2190
2025-08-05;12:00;Avignon;1952
2025-08-05;12:00;Arles;1169
2025-08-05;12:00;Gap;963
2025-08-05;12:00;Digne-les-Bains;386
2025-08-05;13:00;Marseille;5516
2025-08-05;13:00;Nice;2949
2025-08-05;13:00;Toulon;2451
2025-08-05;13:00;Aix-en-Provence;1949
2025-08-05;13:00;Avignon;1153
2025-08-05;13:00;Arles;1093
2025-08-05;13:00;Gap;680
2025-08-05;13:00;Digne-les-Bains;535
2025-08-05;14:00;Marseille;3533
2025-08-05;14:00;Nice;4702
2025-08-05;14:00;Toulon;2593
2025-08-05;14:00;Aix-en-Provence;2383
2025-08-05;14:00;Avignon;1668
2025-08-05;14:00;Arles;1432
2025-08-05;14:00;Gap;919
2025-08-05;14:00;Digne-les-Bains;610
2025-08-05;15:00;Marseille;3722
2025-08-05;15:00;Nice;3036
2025-08-05;15:00;Toulon;2446
2025-08-05;15:00;Aix-en-Provence;2248
2025-08-05;15:00;Avignon;1294
2025-08-05;15:00;Arles;820
2025-08-05;15:00;Gap;542
2025-08-05;15:00;Digne-les-Bains;396
2025-08-05;16:00;Marseille;4603
2025-08-05;16:00;Nice;3380
2025-08-05;16:00;Toulon;2371
2025-08-05;16:00;Aix-en-Provence;1647
2025-08-05;16:00;Avignon;1305
2025-08-05;16:00;Arles;1273
2025-08-05;16:00;Gap;898
2025-08-05;16:00;Digne-les-Bains;576
2025-08-05;17:00;Marseille;7797
2025-08-05;17:00;Nice;5608
2025-08-05;17:00;Toulon;4698
2025-08-05;17:00;Aix-en-Provence;3312
2025-08-05;17:00;Avignon;2680
2025-08-05;17:00;Arles;1868
2025-08-05;17:00;Gap;1507
2025-08-05;17:00;Digne-les-Bains;988
2025-08-05;18:00;Marseille;8575
2025-08-05;18:00;Nice;7170
2025-08-05;18:00;Toulon;4317
2025-08-05;18:00;Aix-en-Provence;3463
2025-08-05;18:00;Avignon;3008
2025-08-05;18:00;Arles;2042
2025-08-05;18:00;Gap;1745
